index,topic,prompt
587,Cheerleading,"Context: During his professional career he bowled with genuine speed and hostility. Akram was a man possessed of accurate control of line and length, accompanied by seam and swing bowling skills, extended to both inswingers and outswingers. With a very quick bowling action, he could bowl equally well from both sides of the wicket. His maste Question: How long was his bowling career Answer: None. Question: What was Akrams legacy? Answer: Akram was a man possessed of accurate control of line and length, Question: Did he have any incredible achievements with his line and length skills Answer: With a very quick bowling action, he could bowl equally well from both sides of the wicket. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It can be performed to motivate sports teams, entertain the audience, or for competition. Conversation:  Apprentice: Do you enjoy watching cheerleading?   Wizard: yes i do because it is an event where cheer cheerleaders cheer  for their team as a form of encouragement.  Apprentice: Cheerleaders have to be pretty good athletes themselves. Many of them do all kinds of stunts!"
588,Cheerleading,"Context: Under the strict supervision of Hawkins, the Hawks became an accomplished band. They split from Hawkins in 1963, recorded two singles and toured almost continually, playing in bars and clubs, usually billed as Levon and the Hawks. Hudson started work as a session musician in 1965, playing on John Hammond, Jr.'s So Many Roads along with Robertson (guitar) and Helm (drums).  In August 1965, they were introduced to Bob Dylan by manager Albert Grossman's assistant, Mary Martin. In Octobe Question: was it successful? Answer: None. Question: What happened in 1965? Answer: Hudson started work as a session musician in 1965, playing on John Hammond, Jr.'s So Many Roads Question: When did he join the band? Answer: In August 1965, they were introduced to Bob Dylan by manager Albert Grossman's assistant, Mary Martin. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Apprentice: Hello! I was a cheerleader in high school. Do you have any experience with cheerleading?   Wizard: Cheerleading could be chanting or activity.  Apprentice: yes, it could be. By chanting, do you mean saying things in unison? "
589,Cheerleading,"Context: Before appearing on America's Got Talent, Fator had almost given up on achieving success in show business as a ventriloquist. ""It wasn' Question: what did he do with the letterman gige? Answer: None. Question: when was terry on america's got talent? Answer: June 19, 2007, Question: what did he do on the show? Answer: ventriloquist. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading began during the late 18th century with the rebellion of male students. Conversation:  Apprentice: I love watching cheerleading competitions. The flyers scare me a bit though.  Wizard: I hear ya they can be dangerous. I love watching cheerleaders perform flips and chants.  Apprentice: It's pretty risky. A cheerleader from Southern Illinois University fractured her back and hit her head from falling from a pyramid stunt. She's fully recovered now though,thank goodness."
590,John Grisham,"Context: While pitching for the NL in the 1937 All-Star Game, Dean faced Earl Averill of the American League Cleveland Indians. Averill hit a line drive back at the mound, hitting Dean on the foot. Told that his big toe was fractured, Dean responded, ""Fractured, hell, the damn thing's broken!"" Coming back too soon from the injury, Dean changed his pitching motion to avoid landing as hard on his sore toe enough to affect his mechanics. As a resu Question: What did his teammates think? Answer: None. Question: How did he get injured? Answer: Averill hit a line drive back at the mound, hitting Dean on the foot. Question: Could he not recover to continue playing? Answer: Coming back too soon from the injury, Dean changed his pitching motion to avoid landing as hard on his sore toe enough to affect his mechanics. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990. Conversation:  Wizard: John Grisham born 1955 is my fav author  Apprentice: That's cool! Wasn't he a lawyer?  Wizard: yes he is attorney, author, activist and politician!  Apprentice: Politican? Where is he a politican?"
591,Skiing,"Context: Formed while still in high school in 2003, All Time Low began covering songs by pop punk bands such as Blink-182. The band's line-up included Alex Gaskarth on vocals, Jack Barakat on guitar, TJ Ihle on lead guitar and backing vocals, Chris Cor Question: did it do well? Answer: None. Question: when was all time low formed? Answer: Formed while still in high school in 2003, Question: how many people joined the band at the start? Answer: The band's line-up included Alex Gaskarth on vocals, Jack Barakat on guitar, TJ Ihle on lead guitar and backing vocals, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cross-country skiing is a form of skiing where skiers rely on their own locomotion to move across snow-covered terrain, rather than using ski lifts or other forms of assistance. Conversation:  Wizard: have you ever gone skiing its a sport in which the participant uses skis to glike on the snow?  Apprentice: Well tried it but almost lost my legs.That could be dangerous to a novice  Wizard: yes it can be careful it has a long history it goes back almost 5000 years  Apprentice: Is it only done on snow,I mean ice?"
592,Winter,"Context: In 1999, BT released his third album, Movement in Still Life, and continued his previous experimentation outside of the trance genre. The album features a strong element of nu skool breaks, a genre he helped define with ""Hip-Hop Phenomenon"" in colla Question: Did he move during this time? Answer: None. Question: What is Movement in Still Life? Answer: In 1999, BT released his third album, Movement in Still Life, Question: What kind of music was it? Answer: The album features a strong element of nu skool breaks, a genre he helped define with ""Hip-Hop Phenomenon Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The English word ""winter"" comes from the Proto-Indo-European root ""wend,"" relating to water. Conversation:  Wizard: Growing up in Alaska I always hated the coldest season. It seemed to last for ever.   Apprentice: Oh I bet. Is it winter when the nights are ridiculously long or do I have that backwards?  Wizard: Your correct. The last sunset was in October and the sun did not come back until March.  Different cultures define different dates as the start of winter but we called the last sundown winter.   Apprentice: I kinda thought it was the same for everyone, but then I've also lived in Texas my whole life, so what do I know right? LOL"
593,American football,"Context: By early 1933, Bell's opinion on the NFL had changed, and he wanted to become an owner of a team based in Philadelphia. After being advised by the NFL that a prerequisite to a franchise being rendered in Philadelphia was that the Pennsylvania Blue Laws would hav Question: Did he go into the military? Answer: None. Question: Who was Bert Bell? Answer: he wanted to become an owner of a team based in Philadelphia. Question: Did he become the owner of the team in Philadelphia? Answer: After being advised by the NFL that a prerequisite to a franchise being rendered in Philadelphia was that the Pennsylvania Blue Laws Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end. Conversation:  Wizard: My son wants to play American Football its played by two teams on a field with goalposts  Apprentice: how do you play the game ? with a ball and your foot?  Wizard: The teams score points by getting the ball into the other teams end zone or through the goalpost for touchdown  Apprentice: oh wow that sounds complex, where do they play these foot ball at ?"
594,Dog training,"Context: Among many television credits, Romero appeared several times on The Martha Raye Show in the mid-1950s. He portrayed Don Diego de la Vega's uncle in a number of Season 2 Zorro episodes.  In 1958, he guest-starred as Ramon Valdez, a South American businessman, who excels at dancing the Cha-Cha with Barbara Eden in her sy Question: Was he ever married? Answer: None. Question: Who is Cesar Romero? Answer: He portrayed Don Diego de la Vega's uncle in a number of Season 2 Zorro episodes. Question: Was he in any other movie's or television show? Answer: In 1958, he guest-starred as Ramon Valdez, a South American businessman, who excels at dancing the Cha-Cha with Barbara Eden Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He received the Navy Cross for his service during World War I.  Hugo William Koehler was born on July 19, 1886 in St. Louis, Missouri. Conversation:  Wizard: Hey have you ever trained a dog?  Apprentice: No but I've tried to! We fostered a dog for a few days but sadly it had terrible separation anxiety issues. Funny enough, I've trained a rat to play fetch, come when called, and to use a litter pan.   Wizard: There are many proven methods and one of them will work with almost all dogs.  You have to find the right one.  There's the Koehler method for example  Apprentice: I've never heard of the Koehler method - I've heard of clicker training, though, and positive reinforcement. What can you tell me about the Koehler method?"
595,Genghis Khan,"Context: Roche scored his first professional victory by beating Bernard Hinault in the Tour of Corsica. Less than a month later he won Paris-Nice (where he became the first, and still the only, new pro to win Paris-Nice) despite illness following Question: What kind of illness did he have? Answer: None. Question: How did he start his professional career? Answer: Roche scored his first professional victory by beating Bernard Hinault in the Tour of Corsica. Question: Did he have any other major victories? Answer: he won Paris-Nice (where he became the first, and still the only, new pro to win Paris-Nice) despite illness Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His descendants extended the Mongol Empire across most of Eurasia by conquering or creating vassal states in all of modern-day China, Korea, the Caucasus, Central Asia, and substantial portions of Eastern Europe and Southwest Asia. Conversation:  Apprentice: I think that Genghis Khan has a fascinating history   Wizard: Yes, Khan was born circa 1162 and died in 1227. He was the founder of the Mongol Empire.  Apprentice: Didn't that empire stretch over most of the continent and then some?"
596,American football,"Context: Krauss' second Union Station album Every Time You Say Goodbye was released in 1992, and she went on to win her second Grammy Award for Best Bluegrass Album of the year. She then  Question: Did they release any singles from that album? Answer: None. Question: What did Krauss do in 1992? Answer: Krauss' second Union Station album Every Time You Say Goodbye was released in 1992, Question: Was the album a success? Answer: and she went on to win her second Grammy Award for Best Bluegrass Album of the year. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Thomas Edward Patrick Brady Jr. (born August 3, 1977) is an American football quarterback for the New England Patriots of the National Football League (NFL). Conversation:  Apprentice: I like American football. What is your favorite team?  Wizard: I really like football it's an awesome american sport I like the patriots  Apprentice: Cool I am a Ravens fan. I'm sure you're disappointed about your Super Bowl loss this year."
597,American football,"Context: Bloc Party's debut album, Silent Alarm, was released in February 2005 and was met with universal critical acclaim. It was voted 'Album of the Year' for 2005 by NME, and reached number 3 on the UK Albums Chart before being certified platinum. The first single from the album, ""So Here We Are/Positive Tension"", made the top 5 on the UK Top 40 ch Question: Did their album receive award Answer: None. Question: when was silentalarm  released Answer: Silent Alarm, was released in February 2005 Question: what is the hit in the album Answer: The first single from the album, ""So Here We Are/Positive Tension"", made the top 5 on the UK Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time. Conversation:  Wizard: Can you believe it? This weekend preseason for American football starts.  Apprentice: I had no idea it started so soon!  Wizard: No that you know you will not be able to sleep. American football NFL starts this weekend. College is still a month away.  Apprentice: Do you know how many teams are in the NFL?"
598,Auto racing,"Context: The nomadic tribes historically survived on hunting and gathering, and the American Bison was one primary resource for items which people used for everyday life, including Question: What did the Indians gather? Answer: None. Question: What is the main point of the article? Answer: The nomadic tribes historically survived on hunting and gathering, Question: What did the Indians hunt? Answer: American Bison was one primary resource for items which people used for everyday life, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Auto racing (also known as car racing, motor racing, or automobile racing) is a motorsport involving the racing of automobiles for competition. Conversation:  Wizard: Auto racing is popular in many countries and fun to watch the competitions  Apprentice: Yeah I love to watch it! I worked with a company in the automotive industry!   Wizard: Oh really? I know auto racing is popular inamerica for nascar and formula one in other countries  Apprentice: That's cool, have you ever seen a live race before?"
599,Green,"Context: After Osceola's death, army doctor Frederick Weedon persuaded the Seminole to allow him to make a death mask of Osceola, this being a European-American custom at the time for prominent people. Later he  Question: when did he do that Answer: None. Question: what aappenne after his deah Answer: After Osceola's death, army doctor Frederick Weedon persuaded the Seminole to allow him to make a death mask of Osceola, Question: why did he want to do that Answer: this being a European-American custom at the time for prominent people. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is evoked by light which has a dominant wavelength of roughly 495570 nm. Conversation:  Apprentice: My favorite color is green! I like it's such a pretty color! Do you like green?  Wizard: Green is the color between blue and yellow   Apprentice: That makes sense! I remember mixing blue and yellow paint in school to make green.  My favorite shade is like an emerald green."
600,Cardigan (sweater),"Context: Parks died of natural causes on October 24, 2005, at the age of 92, in her apartment on the east side of Detroit. She and her husband never had children and she outlived her only sibling. She was survived by her sister-in-law (Raymond's sister), 13 nieces and nephews and their families, and several cousins, most of them residents of Michigan or Alabama.  City off Question: Why was that? Answer: None. Question: When did Rosa Parks die? Answer: Parks died of natural causes on October 24, 2005, at the age of 92, Question: What was her family's reaction? Answer: She was survived by her sister-in-law (Raymond's sister), 13 nieces and nephews and their families, and several cousins, most of them residents of Michigan or Alabama. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: Hey, do you like cardigans?  Wizard: I like the modern version without no buttons and hangs open by design.  Apprentice: Me too. My fav is the waterfall style but it's going out of fashion now I think"
601,Skiing,"Context: Outside the realms of history, political science and political analysis, Vladimir Tismaneanu is a noted author of memoirs. This part of his work is centered on the volume Ghilotina de scrum (""The Ashen Guillotine""), also writ Question: What kind of film is this? Answer: None. Question: What contributions did he make? Answer: Vladimir Tismaneanu is a noted author of memoirs. Question: What memoirs did he write? Answer: This part of his work is centered on the volume Ghilotina de scrum (""The Ashen Guillotine""), Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: Skiers used to only use one pole or spear instead of two. Have you every gone skiing?  Apprentice: I haven't ever gone skiing, but my kids do and love it. Maybe one of these days I'll try it out. Do you ski?  Wizard: I used to ski when I was younger, but I switched to snowboarding. I found there was less equipment to keep track of on the mountains.   Apprentice: Snowboarding completely eliminates the needs for those poles too. Interesting that they used to only use one pole. Maybe they were the first snowboarders!"
602,Nickelback,"Context: His screen debut occurred in the 2005 starring in the Robert Schwentke-directed German-American mystery-thriller Flightplan, opposite Jodie Foster. Bomer's character was a flight attendant. The film grossed $223.3 million dollars worldwide, becoming the seventeenth highest grossing film of the year and Bomer's most lucrative film so far. The film  Question: When did it end? Answer: None. Question: How did he get into films? Answer: His screen debut occurred in the 2005 starring in the Robert Schwentke-directed German-American mystery-thriller Flightplan, opposite Jodie Foster. Question: Was Flightplan a success? Answer: The film grossed $223.3 million dollars worldwide, becoming the seventeenth highest grossing film of the year and Bomer's most lucrative film so far. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles. Conversation:  Apprentice: Nickelback is the best band that has ever existed on this earth.  Wizard: I like them too. They're Canadian and started in 1995. Until recently I didn't know they were formed that long ago  Apprentice: Yes, they are better then The Beatles. Rock Gods, Chad the lead singer is my Jesus."
603,Harry Potter,"Context: The show finished its first season (1995-1996) barely in the Top 50, placing 48th in the Nielsen ratings, with an average rating of 10.1. The second season did considerably better, making it into the Top 20 finishing its second season (1996-199 Question: Why did the ratings drop Answer: None. Question: How did the show do in ratings Answer: The show finished its first season (1995-1996) barely in the Top 50, Question: Did the ratings improve Answer: The second season did considerably better, making it into the Top 20 finishing its second season Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Harry Potter is a series of fantasy novels written by British author J. K. Rowling. Conversation:  Wizard: Have you ever read harry potter the philosophers stone?   Apprentice: I have not but I intend to soon enough, have you?  Wizard: I have read the harry potter and the sorcerers stone, as i understand they are the same.   Apprentice: Is Harry Potter and the Sorcerer's Stone the first book of the series?"
604,Waterfowl hunting,"Context: He published an autobiography, Fatso, in 1987.  Question: Was it successful? Answer: None. Question: What did Donovan do after he was done playing? Answer: He published an autobiography, Question: What was it titled? Answer: Fatso, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In many western countries, commercial waterfowl hunting is prohibited, and duck hunting is primarily an outdoor sporting activity. Conversation:  Apprentice: Have you ever been waterfowl hunting?  Wizard:  I have not been waterfowl hunting. Do you just hunt birds that are near the water?  Apprentice: Sort of yes, it is duckhunting and you sometimes have a dog with you to retrieve them"
605,Drama school,"Context: In 1987, Seagal be Question: When did Hard to Kill come out? Answer: None. Question: What was his first movie in the 1980s? Answer: Above the Law (titled Nico in Europe), Question: What year did that movie come out? Answer: 1987, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Some schools make this a two-stage process. Conversation:  Wizard: I love the fact that entry into drama school involves a competitive process. It makes the students more dedicated.  Apprentice: I don't really know much about drama school. Is it really highly competitive?   Wizard: Because there are not as many schools that offer this degree, the kids usually are competing for spots.  Apprentice: So the kids have to compete just to get into the schools themselves? Do they have official competitions of some kind?"
606,Instagram,"Context: On July 4, Durant announced his intentions to sign with the Warriors in The Players' Tribune. The move was received negatively by the public and NBA analysts, with many comparing it to LeBron James's 2010 off-season departure from the Cleveland Cavaliers to join the Heat. On July 7, Durant officially signed with Golden State on a two-year, $54.3 million contract with a player option after the first year. Reflectin Question: Did he make the All Star game that year? Answer: None. Question: Who did Durant play for in 2016? Answer: On July 4, Durant announced his intentions to sign with the Warriors in The Players' Tribune. Question: How much money did he sign for? Answer: On July 7, Durant officially signed with Golden State on a two-year, $54.3 million contract with a player option after the first year. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It was created by Kevin Systrom and Mike Krieger, and launched in October 2010 as a free mobile app exclusively for the iOS operating system. Conversation:  Apprentice: I spend a lot of time on instagram but I don't really like it.  Wizard: I like instragram because there aren't many photo apps that are desktop and mobile with such high level of quality  Apprentice: I guess that is true, I just don't like those ads!!"
607,Cheerleading,"Context: In 1997, he was featured on John Williams' soundtrack to the Hollywood film Seven Years in Tibet. In 2000, he was heard on the soundtrack of Crouching Tiger, Hidden Dragon and, in 2 Question: Did he accept that appointment? Answer: None. Question: What is notable about his career? Answer: In 1997, he was featured on John Williams' soundtrack to the Hollywood film Seven Years in Tibet. Question: Was his work featured in any other films? Answer: In 2000, he was heard on the soundtrack of Crouching Tiger, Hidden Dragon Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It can range from chanting slogans to intense physical activity. Conversation:  Apprentice: I never tried to be a cheerleader, but they were always popular in school. What about you?  Wizard: Cheerleading is a team sport with encouragement  Apprentice: Yes, they have lots of spirit too."
608,Skiing,"Context: Santorum served in the United States Senate representing Pennsylvania from 1995 to 2007. From 2001 Question: Why did he leave? Answer: None. Question: What was his tenure in regards to? Answer: the United States Senate Question: How long was he there? Answer: from 1995 to 2007. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings. Conversation:  Wizard: I have never been skiing before.  Is it a fun activity?  Apprentice: Honestly, I have no idea as I've never been skiing either. I can't even skate so I doubt I'd be able to ski.   Wizard: I actually can't skate either. LOL.  I know that skiing is a poppular winter sport though for many  Apprentice: Yes it is. It looks hard to do. Even if you could get your balance, to actually navigate the snow would be hard."
609,Elvis Presley,"Context: Monteux made a large number of recordings throughout his career. His first recording was as a violist in ""Plus blanche que la blanche hermine"" from Les Huguenots by Meyerbeer in 1903 for Pathe with the tenor Albert Vaguet. It is pos Question: Was this the end of his career? Answer: None. Question: What was the reputation and repertoire? Answer: Monteux made a large number of recordings throughout his career. Question: Was this an album? Answer: His first recording was as a violist in ""Plus blanche que la blanche hermine"" from Les Huguenots by Meyerbeer in 1903 for Pathe with the tenor Albert Vaguet. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"". Conversation:  Apprentice: Hi, I love Elvis Presley. How about you?  Wizard: I also am a fan.  He began his career way back in 1954  Apprentice: That's long ago, how long did his career last?"
610,Ireland,"Context: The hero's first name, Milos, is a Slavic given name recorded from the early Middle Ages among the Bulgarians, Czechs, Poles and Serbs. It is derived from the Slavic root mil-, meaning ""merciful"" or ""dear"", which is found in a great number of Slavic given names.  Several  Question: What else do the poems say Answer: None. Question: How did he get his name Answer: The hero's first name, Milos, is a Slavic given name recorded from the early Middle Ages among the Bulgarians, Czechs, Poles and Serbs. Question: What is unique about his name Answer: is derived from the Slavic root mil-, meaning ""merciful"" or ""dear"", which is found in a great number of Slavic given names. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The civil war was waged between two opposing groups, Irish republicans and Irish nationalists, over the Anglo-Irish Treaty. Conversation:  Wizard: I've always wanted to visit Ireland, to see the lush vegetation and other beautiful scenery.  Apprentice: The recent history is so sad for such a beautiful country  Wizard: Yes, five-sixths of the land comprimises Ireland, but Northern Ireland is still in the United Kingdom.  Apprentice: Throw in this Brexit business which only makes things worse."
611,Elvis Presley,"Context: In August, 1950, McDaniel suffered a heart ailment and entered Temple Hospital in semi-critical condition. She was released in October to recuperate at home, and she was cited by United Press on Jan. 3, 1951, as showing ""slight improvement in her recovery from a mild stroke.""  McDaniel died of breast cancer at age 57 on October 26, 1952, in the hospital on the grounds of the Motion Picture House in Woodland Hills, California. She was s Question: Was she married or did she have children? Answer: None. Question: At what age did Hattie McDaniel die? Answer: McDaniel died of breast cancer at age 57 Question: Where was she living at the time? Answer: in the hospital on the grounds of the Motion Picture House in Woodland Hills, California. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States. Conversation:  Apprentice: I like to listen to Elvis! Have you heard him?  Wizard: Yeah my favorite song of his is ""Hound Dog"" written by Jerry Leiber.  Apprentice: Yes, I love that song! I really like his version of ""My Way"""
612,Auto racing,"Context: In 1940, Miller ma Question: What was the play about? Answer: None. Question: What was his first play? Answer: The Man Who Had All the Luck Question: When did he write The Man Who Had All the Luck? Answer: 1940, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A V8 engine is an eight-cylinder V configuration engine with the cylinders mounted on the crankcase in two sets (or banks) of four, with all eight pistons driving a common crankshaft. Conversation:  Wizard: I love race cars! Auto racing is very exciting to me.  Apprentice: Awesome! Do you race yourself, or just watch?  Wizard: I just watch, I wish I could race! I've been to the INDY 500 a few times though.  Apprentice: I bet that was exciting!  Did you cheer for anyone in particular?"
613,Bowling,"Context: In 1830, Black made the famous Bowie knife for Jim Bowie who was already famous for knife-fighting from his 1827 sandbar duel. Bowie's killing of three assassins in Texas and his death at the Battle of the Alamo made him, and Black's knife, legends. After Bowie's death in 1836, Black did a brisk business selling his knives to pioneers bound for Texas. Everyone seemed to want ""Jim Bowie's knife."" Black fo Question: How many knifes did he sold? Answer: None. Question: What did James Black do? Answer: In 1830, Black made the famous Bowie knife for Jim Bowie Question: Why is this knife famous? Answer: After Bowie's death in 1836, Black did a brisk business selling his knives to pioneers bound for Texas. Everyone seemed to want ""Jim Bowie's knife. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Apprentice: Hi! I really like bowling. Do you know anything about it?  Wizard: I enjoy it too, even when I am not good at it. But I know it is one of the major forms of throwing sports.  Apprentice: That's true. I heard that at most places you have to actually pay to rent shoes. "
614,Online shopping,"Context: Jenner was the American champion in the men's decathlon event in 1974, and was featured on the cover of Track & Field News magazine's August 1974 issue. While on  Question: Has anyone broke his record? Answer: None. Question: Did Jenner have Olympic Success? Answer: Jenner was the American champion in the men's decathlon event in 1974, Question: Did he appear in any magazines? Answer: was featured on the cover of Track & Field News magazine's August 1974 issue. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A typical online store enables the customer to browse the firm's range of products and services, view photos or images of the products, along with information about the product specifications, features and prices. Conversation:  Apprentice: I shop online so much! I love it because i can read reviews  Wizard: I love it too! It allows me to buy anything over the internet with just my browser.  Apprentice: isn't it amazing? and then it gets delivered right to your door"
615,Bowling,"Context: Timmons moved to New York in 1954. He played with Kenny Dorham in 1956, making his recording debut with the trumpeter in a live set in May of that year. He went o Question: Was the band successful? Answer: None. Question: What happened in 1954? Answer: Timmons moved to New York in 1954. Question: What did he do in New York? Answer: He played with Kenny Dorham in 1956, making his recording debut with the trumpeter in a live set in May of that year. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: Hello, I bet you must bowled before.It is a leisure activity in which that involves rolling of the ball  Apprentice: No, I haven't. What is the objective of the game?  Wizard: It's simple just throw a bowling ball so that it eliminates  a target.  Apprentice: What is the target?"
616,American football,"Context: In July 1799 Owen and his partners bought the New Lanark mill from David Dale, and Owen became the New Lanark mill's manager in January 1800. Encouraged by his success in the management of cotton mills in Manchester, Owen hoped to conduct the New Lanark mill on higher principles than purely commercial ones. David Dale and Richard Arkwright had established the substantial mill at New Lanark in 1785. With its  Question: Is the New Lanark textile mill around today? Answer: None. Question: What does Robert Owen have to do with the New Lanark textile mill? Answer: manager in January 1800. Question: When did he stop being a manager of the textile mill? Answer: 1785. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Michigan was independent of any conference until 1896 when it became one of the founding members of the Western Conference (now known as the Big Ten Conference). Conversation:  Wizard: Football points are mostly scored through touchdowns, but field goals, safetys, and extra points matter, too.  Apprentice: Yes - field goals especially can save a game  Wizard: American Football was invented in the US, sort of a rugby soccer hybrid.  Apprentice: yes and our players seem to be a lot bigger than rugby players"
617,Elvis Presley,"Context: Starr and the other members of the Beatles were appointed Members of the Order of the British Empire (MBE) in the 1965 Birthday Honours; they received their insignia from Queen Elizabeth II at an investiture at Buckingham Palace on 26 Oct Question: What happened to ring next Answer: None. Question: What was he apart of Answer: Starr and the other members of the Beatles were appointed Members of the Order of the British Empire (MBE Question: What was their next honor Answer: Birthday Honours; they received their insignia from Queen Elizabeth II at an investiture at Buckingham Palace Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States. Conversation:  Wizard: were you aware that the famous musician Elvis' middle name was Aaron?  Apprentice: no, i wasn't ! I guess i learned something new today. :) i don't know much about Elvis. Where is he from?  Wizard: He was born in Tupelo Mississippi, but relocated to Memphis when he was 13.   Apprentice: wow, my husband is from Mississippi! I bet they have Elvis museum somewhere in MS"
618,American football,"Context: Culkin rose to fame with his lead role of Kevin McCallister in the highly successful blockbuster Christmas film, Home Alone (1990), where he was reunited with Uncle Buck writer and director John Hughes and Uncle Buck co-star John Candy, who played the role of Polka band member, Gus Polinski. He was nominated for a Golden Globe Award, and won an American Comedy Award and a Young Artist Award for his role as Kevin McCallister.  In 1991, Question: Who did he star in Home Alone 2 with? Answer: None. Question: What was Macauclay's breakthrough? Answer: Culkin rose to fame with his lead role of Kevin McCallister in the highly successful blockbuster Christmas film, Home Alone (1990), Question: Did the movie win any awards? Answer: He was nominated for a Golden Globe Award, and won an American Comedy Award and a Young Artist Award for his role as Kevin McCallister. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time. Conversation:  Apprentice: It's almost the best time of year. the first kickoff of American Football season.  Wizard: And to just think; the first match of American football was played on November 6, 1869!  Apprentice: I'm sure it's a complete different game then it is today. The year the Detroit Lions will win the super bowl."
619,Hunting,"Context: Turner's fifth studio album, Punching Bag, was released via MCA Nashville on June 12, 2012 and prece Question: Did the album itself sell well? Answer: None. Question: What is Punching Bag? Answer: Turner's fifth studio album, Punching Bag, was released via MCA Nashville Question: When was this released? Answer: June 12, 2012 Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species. Conversation:  Wizard: Hunting is a practice of killing or trapping animals  Apprentice: thats interesting, ive never hunted before.  Wizard: It also be pursueing and trapping animals with the intent of killing the animal  Apprentice: oh yea well it wouldnt be hunting if you didnt"
620,Goldendoodle,"Context: On 3 July 2008, Salonga became a columnist in the Philippine Daily Inquirer with her column ""Backstory"" (Enterta Question: Did the tour win any awards? Answer: None. Question: What did she so for the Philippine Daily Inquirer? Answer: On 3 July 2008, Salonga became a columnist in the Philippine Daily Inquirer with her column ""Backstory"" ( Question: What was her column called? Answer: Backstory Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Goldendoodle was first bred by Monica Dickens in 1969. Conversation:  Apprentice: I was looking at adopting a goldendoodle. Can you tell me anything about them?  Wizard: well  The Goldendoodle is a cross-breed dog!  Apprentice: Which breeds are crossed? Is one a poodle?"
