index,topic,prompt
549,Accounting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Practitioners of accounting are known as accountants. Conversation:  Apprentice: Hello, accounting is very fun, I like to work with numbers.  Wizard: Accounting is the processing and communication of financial information. It seems like serious stuff!  Apprentice: If it is very serious, but it is an exciting job that allows to do all financial processes in an orderly manner."
550,Auto racing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The minimum weight permissible is including the driver but not fuel. Conversation:  Wizard: I want to drive a racecar.  Auto racing seems like a fun sport!  Apprentice: Eeeek - that all seems a bit scary to me. I don't do the whole adrenaline thing very well - I'm the passenger that keeps trying to brake when I'm not driving - haha  Wizard: Tony Stewart is my favorite driver in Indy, where he races sprint cars.  That passenger seat brake doesn't work, you know that, right?  Apprentice: Haha I know - doesn't stop me trying though!! My other half is in to all that and has been to watch formula one racing."
551,Auto racing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first organized contest was on April 28, 1887, by the chief editor of Paris publication ""Le Vélocipède"", Monsieur Fossier. Conversation:  Apprentice: I really like Auto racing. In fact I'm watching the British Grand Prix right now!  Wizard: There was races for automobiles as soon as they recorded as early as 1867.  Apprentice: It sure has come a long way. This formula 1 race right now is downright bonkers."
552,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old. Conversation:  Apprentice: Hi, do you know about Elvis Presley  Wizard: Hi there! Let's talk about the popular musician Elvis Presley? .  Apprentice: do you like his songs?"
553,Bee,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They are found on every continent except Antarctica, in every habitat on the planet that contains insect-pollinated flowering plants. Conversation:  Apprentice: I dont like bees because they sting  Wizard: me too, they are flying insects closely related to wasps and ants, known for their role in pollination   Apprentice: Yeah they give us honey and i like that atleast"
554,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"". Conversation:  Apprentice: Hello  Wizard: Hi, do you enjoy Elvis Presley  Apprentice: yes, I do. I am familiar with his big hits"
555,Broken heart,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Emotional pain that is severe can cause 'broken heart syndrome', including physical damage to the heart. Conversation:  Apprentice: My heart hurts from a broken relationship :(   Wizard: You sound like you are dealing with the oh so fun broken heart.  It can cause emotional and even physical pain.  Apprentice: Yeah, I am feeling both right now... :(  Do you know how to make it stop? "
556,Neurosurgery,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In most countries, neurosurgeon training requires a minimum period of seven years after graduating from medical school. Conversation:  Apprentice: I have always been fascinated by neurosurgery.  Wizard: It's definitely interesting. It's also often known as brain surgery.  Apprentice: Definitely interesting. It must be one of the more difficult fields to go into."
557,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States. Conversation:  Wizard: Elvis Aaron Presley was a famous musician and singer known as the ""King of Rock and Roll.""  He was born in 1935, and died in 1977.  Are you a fan?  Apprentice: I've definitely heard of him and his music, since he was so ridiculously popular. What else do you know about him?  Wizard: ""The King""'s music career began in Memphis, Tennessee.  His producer, Sam Philips, wanted to bring the sound of African American music to a wider audience.  He became popular quite quickly.    Apprentice: That makes sense, his music was very similar in sound to that of African American music back in the day. I'd love to hear more!"
558,Insane Clown Posse,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The group has established a dedicated following called Juggalos numbering in the ""tens of thousands"". Conversation:  Wizard: Man, ICP or Insane Clown Posse are my favorite band! Their hip hop style is phenomenal. Do you like them?  Apprentice: I find ICP to have some of the worst fans, they seem to be crazy druggies quite often  Wizard: Yeah perhaps... since they were founded in Detroit in 1989, maybe their edgy style influenced people the wrong way. Do you prefer another rap group?  Apprentice: Not as much of a rap fan but i like rap occasionally, mainly like rock and metal"
559,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old. Conversation:  Wizard: My mom met Elvis. She said he was very nice. He was a singer and actor back in the day.  Apprentice: That sounds like an awesome experience. I wish I could have met the ""King of Rock and Roll.""  Wizard: Yeah I have listened to his music. Heartbreak Hotel was a number one hit in the US.  Apprentice: That's actually one of my favorite songs by him. If I had to choose it would be that or Jailhouse Rock."
560,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading. Conversation:  Apprentice: I did a little bit of cheerleading when I was younger. How about you?  Wizard: Yeah im still involved actually its till a team cheering as a form of encouragement.  Apprentice: Thats awesome. Do you take part in cheerleading competitions?"
561,Cod,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cod is the common name for the genus ""Gadus"" of demersal fishes, belonging to the family Gadidae. Conversation:  Wizard: the cod name for the genus ""Gadus"" of demersal  Apprentice: Oh man, I know nothing about fish!  Where are they found?  Wizard: Native American Party, renamed the American Party in 1855 and commonly in the city  Apprentice: What do you mean?"
562,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: Have you ever read Harry Potter? they are written by J. K. Rowling who is a british author  Apprentice: I have heard of Harry Potter but never seen the movies or read the books. I know they are popular.  Wizard: The books have sold over 500 million copies worldwide, so they certainly are popular!  Apprentice: That is a lot! When did the books first come out? I remember I was still in elementary school I believe."
563,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The PBA Tour is the major professional tour for ten-pin bowling, operated by the Professional Bowlers Association. Conversation:  Wizard: Bowling is such a fun activity! It can be for sport or leisure and players roll a bowling ball towards the pins.  Apprentice: Yeah it can! I used to bowl in a league with my friends a few years ago. It was a ton of fun. There's a great sense of community among bowlers, isn't there?  Wizard: Yes! It is one of the major throwing sports.  Apprentice: How many strikes in a row do you have to get to get a perfect game, and what score is that? I wouldn't know. I've only ever bowled 120!"
564,Gymnastics,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge:  Conversation:  Wizard: i love gymnastics, it is a sport practiced by men and women that requires balance and strength  Apprentice: What type of gymnastics do you do?  Wizard: i do the ones that requires the development of the arms, legs, and shoulders  Apprentice: How long have you done gymnastics?"
565,Winter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Christmas traditions vary from country to country. Conversation:  Wizard: I love the winter over other seasons, it's the coldest season!   Apprentice: I like winter too. The holidays make it pretty fun.   Wizard: Not all cultures have winter at the same time.  Apprentice: I was just thinking that it is winter in some parts of the world, but I can't remember where!"
566,Guns N' Roses,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A hard rock/blues rock band, their music has also been called heavy metal, although they refer to themselves as ""a rock and roll band, nothing more, nothing less"". Conversation:  Apprentice: Hi. I always did like the band Guns N' Roses. I used to be a huge fan when I was a teenager.  Wizard: Did you hear that Axl Rose is singing for AC/DC these days? Pretty wild how the old rockers keep on going.  Apprentice: I saw that on YouTube! He does well replacing the guy in AC/DC. I like the album Appetite For Destruction best."
567,Accounting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Financial Accounting Standards Board (FASB) is a private, non-profit organization standard setting body whose primary purpose is to establish and improve generally accepted accounting principles (GAAP) within the United States in the public's interest. Conversation:  Apprentice: I hated accounting in college, I was terrible at it.  Wizard: Accounting is a measurement process.Do you study accounting at school?  Apprentice: Only took two course for my business degree because it was required."
568,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility. Conversation:  Apprentice: My favortie color is green because it makes my eyes pop.  Wizard: Green is the color between blue and yellow on the spectrum. It's so pretty.  Apprentice: I used to use blue and yellow paint to make green, so that makes sense"
569,Chihuahua (dog),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Chihuahua's history is convoluted, and there are many theories surrounding the origin of the breed. Conversation:  Apprentice: Chihuahua dogs are so cool, the Taco Bell dog was hilarious!  Wizard: Chihuahuas are some of my least favorite dogs but I love all dogs. I just don't like how they are the smallest dog breed.  Apprentice: They are pretty tiny. What is the largest bredd?"
570,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The bottom of the short ski was either plain or covered with animal skin to aid this use, while the long ski supporting the weight of the skier was treated with animal fat in a similar manner to modern ski waxing. Conversation:  Apprentice: Skiing seems really difficult, but interesting. Do you know much about skiing?  Wizard: Skiing can be a means of transport, a recreational activity or a competitive winter sport in which the participant uses skis  Apprentice: Hm, alright. Do you know anything about the history of skiing?"
571,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: After clinching the SEC East, the Gators defeated then top-ranked Alabama Crimson Tide 31–20 in the SEC Championship Game to win their eighth conference title. Conversation:  Apprentice: I'm a big fan of american football  Wizard: I like American football okay. I prefer college football, the in between of high school and pro football.  Apprentice: What are some of your favorite teams?"
572,Drama school,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: I'm hoping to go to drama school and get a Bachelor of Fine Arts  Apprentice: Great!  Were do you plan to go to Drama school?  Wizard: I wish I could go to the Academy Drama School in London but it closed in 2007.  Apprentice: Do you know why it closed?"
573,Popcorn,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The dish consists of tortilla chips (or ""totopos"") covered with cheese or cheese-based sauce, and is often served as a snack. Conversation:  Apprentice: do you like popcorn?  Wizard: Love it.  Especially sweet popcorn.  Aparently some strains of corn are actually cultivated specially as popping corns.  Apprentice: yup. that sounds good and the popping sound will be amazing to hear"
574,John Grisham,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Eight of his other novels have also been adapted into films: ""The Chamber"", ""The Client"", ""A Painted House"", ""The Pelican Brief"", ""The Rainmaker"", ""The Runaway Jury"", ""Skipping Christmas"", and ""A Time to Kill"". Conversation:  Apprentice: Someone suggested to me that I would enjoy John Grisham books. Can you tell me a little about him?  Wizard: John Ray Grisham Jr is best known for writing popular legal thrillers.  Do you like those kinds of books?  Apprentice: Im not really sure. It does sound interesting though. Does he still write?"
575,Hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: LOL, or lol, is an acronym for laugh(ing) out loud or lots of laughs, and a popular element of Internet slang. Conversation:  Wizard: I really like hunting.  I wish I could do it all the time.  But I understand what happens when people hunt too much.  That why I don't like poachers.  Apprentice: Hunting is good and fun too  Wizard: It's even necessary to go out and reduce the populations of deer in the forest, so that they don't overrun the other animals.  Apprentice: Really? have eaten deer meat  and how does deer meat taste?"
576,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Thick woodlands covered the island until the Middle Ages. Conversation:  Wizard: I have always wanted to visit Ireland! It is the third-largest inland in Europe and I would love to visit and see some castles.   Apprentice: Me too!  I have always wanted to visit and castle visiting would be my first choice!  Wizard: The other plus for visiting Ireland is the climate is free of extreme temperature fluxuation  Apprentice: I didn't know that.  What's the ideal time for a visit?"
577,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: American football evolved in the United States, originating from the sports of association football and rugby football. Conversation:  Wizard: I love to watch football. It is also known as gridiron, and is played with 2 teams of 11 players.  Apprentice: Really? Fascinating, is it Americans who call it gidiron or do you know where that term comes from?   Wizard: I'm not sure. I do know the first match of football was played in 1869, between 2 college teams.  Apprentice: I'm way into football too and these are cool facts I never knew. Is there many football teams?"
578,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A version for iOS was released in February 2010, and an HD version for the iPad. Conversation:  Apprentice: I was surprised to find I loved The Walking Dead. Not my style, usually. Do you watch?  Wizard: I tried a few times but found it wasn't for me.  I like zombie games though . How about you?  I play on the PS4.  Apprentice: Well, after a few seasons, it really just felt tooooo dark and inescapable. I guess zombies will do that to you...! What's your favorite game?"
579,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll. Conversation:  Wizard: Man I love me some good elvis music the american singer!  Apprentice: Oh yea, you can't go wrong with the King! Some people even thing he is alive still.  Wizard: Yeah well I can get with that even though Elvis died on August 16, 1977 he still lives in my heart.  Apprentice: Yes, it is so sad, and speaking of heart it is said that he died from a heart attack."
580,Gymnastics,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It typically involves the women's events of vault, uneven bars, balance beam and floor exercise. Conversation:  Apprentice: My favorite hobby is amateur gymnastics, its really healthy and fun! Have you tried it?  Wizard: I wish I could do gymnastics! I know the sport requires flexibility, balance, agility, strength, coordination, control and endurance. I have ZERO flexibility! lol  Apprentice: Hehe you can try it, and then maybe you become flexible :D be sure to use a lot of chalk before you try, it really helps your grip"
581,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Wizard: American football a sport played by two teams on a rectangular field with goalposts  Apprentice: It is very popular in the USA. The Super Bowl is the most-watched sporting event there.  Wizard: Yes and some countries call it gridiron football or simply gridiron  Apprentice: Probably because the field used to have gridirons painted on. Now they just have the horizontal yard markings."
582,Cardigan (sweater),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s. Conversation:  Wizard: I find it interesting that cardigans were modelled after the knitted wool waistcoats that British officers wore.  Apprentice: I thought that cardigans were like knit vest?  Wizard: It's a type of knitted garment that has an open front - long sleeves usually - with buttons or a tie.  Apprentice: They are extremely comfortable."
583,Paramedic,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The scope of the role varies widely across the world, having originally developed as a paraprofession in the United States during the 1970s. Conversation:  Apprentice: I'm a paramedic  Wizard: that's wonderful! I have so much respect for healthcare professionals  Apprentice: Aw, thank you. What do you do?"
584,Medical billing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: However, with the advent of medical practice management software, also known as health information systems, it has become possible to efficiently manage large amounts of claims. Conversation:  Apprentice: medical bills are too expensive! i cant keep up.  Wizard: I know its also stressful for health care providers who have to submit and follow up on claims with health insurance companies, so they can receive money for the services they performed.   Apprentice: i wish it wasnt so expensive. if it wasnt for medical bills i would probably have alot better credit"
585,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Death Eaters are fictional characters in the ""Harry Potter"" series of novels and films. Conversation:  Apprentice: I love harry potter  Wizard: Harry Potter is pretty good! What's your Hogwarts housing? I'm a Hufflepuff!  Apprentice: I guess I would be more of a Ravenclaw "
586,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Just under 4.8 million live in the Republic of Ireland and just over 1.8 million live in Northern Ireland. Conversation:  Wizard: I've always wanted to go to Ireland. It's the second largest island in the British Isles!  Apprentice: Is it really that big? I never realized! What are you hoping to see if you go?  Wizard: I'd love to see how green it is from all of its lush vegetation due to its mild climate.  Apprentice: It sounds beautiful! Are there any old buildings or landmarks you plan to visit?"
587,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It can be performed to motivate sports teams, entertain the audience, or for competition. Conversation:  Apprentice: Do you enjoy watching cheerleading?   Wizard: yes i do because it is an event where cheer cheerleaders cheer  for their team as a form of encouragement.  Apprentice: Cheerleaders have to be pretty good athletes themselves. Many of them do all kinds of stunts!"
588,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Apprentice: Hello! I was a cheerleader in high school. Do you have any experience with cheerleading?   Wizard: Cheerleading could be chanting or activity.  Apprentice: yes, it could be. By chanting, do you mean saying things in unison? "
589,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading began during the late 18th century with the rebellion of male students. Conversation:  Apprentice: I love watching cheerleading competitions. The flyers scare me a bit though.  Wizard: I hear ya they can be dangerous. I love watching cheerleaders perform flips and chants.  Apprentice: It's pretty risky. A cheerleader from Southern Illinois University fractured her back and hit her head from falling from a pyramid stunt. She's fully recovered now though,thank goodness."
590,John Grisham,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990. Conversation:  Wizard: John Grisham born 1955 is my fav author  Apprentice: That's cool! Wasn't he a lawyer?  Wizard: yes he is attorney, author, activist and politician!  Apprentice: Politican? Where is he a politican?"
591,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cross-country skiing is a form of skiing where skiers rely on their own locomotion to move across snow-covered terrain, rather than using ski lifts or other forms of assistance. Conversation:  Wizard: have you ever gone skiing its a sport in which the participant uses skis to glike on the snow?  Apprentice: Well tried it but almost lost my legs.That could be dangerous to a novice  Wizard: yes it can be careful it has a long history it goes back almost 5000 years  Apprentice: Is it only done on snow,I mean ice?"
592,Winter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The English word ""winter"" comes from the Proto-Indo-European root ""wend,"" relating to water. Conversation:  Wizard: Growing up in Alaska I always hated the coldest season. It seemed to last for ever.   Apprentice: Oh I bet. Is it winter when the nights are ridiculously long or do I have that backwards?  Wizard: Your correct. The last sunset was in October and the sun did not come back until March.  Different cultures define different dates as the start of winter but we called the last sundown winter.   Apprentice: I kinda thought it was the same for everyone, but then I've also lived in Texas my whole life, so what do I know right? LOL"
593,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end. Conversation:  Wizard: My son wants to play American Football its played by two teams on a field with goalposts  Apprentice: how do you play the game ? with a ball and your foot?  Wizard: The teams score points by getting the ball into the other teams end zone or through the goalpost for touchdown  Apprentice: oh wow that sounds complex, where do they play these foot ball at ?"
594,Dog training,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: He received the Navy Cross for his service during World War I.  Hugo William Koehler was born on July 19, 1886 in St. Louis, Missouri. Conversation:  Wizard: Hey have you ever trained a dog?  Apprentice: No but I've tried to! We fostered a dog for a few days but sadly it had terrible separation anxiety issues. Funny enough, I've trained a rat to play fetch, come when called, and to use a litter pan.   Wizard: There are many proven methods and one of them will work with almost all dogs.  You have to find the right one.  There's the Koehler method for example  Apprentice: I've never heard of the Koehler method - I've heard of clicker training, though, and positive reinforcement. What can you tell me about the Koehler method?"
595,Genghis Khan,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His descendants extended the Mongol Empire across most of Eurasia by conquering or creating vassal states in all of modern-day China, Korea, the Caucasus, Central Asia, and substantial portions of Eastern Europe and Southwest Asia. Conversation:  Apprentice: I think that Genghis Khan has a fascinating history   Wizard: Yes, Khan was born circa 1162 and died in 1227. He was the founder of the Mongol Empire.  Apprentice: Didn't that empire stretch over most of the continent and then some?"
596,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Thomas Edward Patrick Brady Jr. (born August 3, 1977) is an American football quarterback for the New England Patriots of the National Football League (NFL). Conversation:  Apprentice: I like American football. What is your favorite team?  Wizard: I really like football it's an awesome american sport I like the patriots  Apprentice: Cool I am a Ravens fan. I'm sure you're disappointed about your Super Bowl loss this year."
597,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time. Conversation:  Wizard: Can you believe it? This weekend preseason for American football starts.  Apprentice: I had no idea it started so soon!  Wizard: No that you know you will not be able to sleep. American football NFL starts this weekend. College is still a month away.  Apprentice: Do you know how many teams are in the NFL?"
598,Auto racing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Auto racing (also known as car racing, motor racing, or automobile racing) is a motorsport involving the racing of automobiles for competition. Conversation:  Wizard: Auto racing is popular in many countries and fun to watch the competitions  Apprentice: Yeah I love to watch it! I worked with a company in the automotive industry!   Wizard: Oh really? I know auto racing is popular inamerica for nascar and formula one in other countries  Apprentice: That's cool, have you ever seen a live race before?"
599,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is evoked by light which has a dominant wavelength of roughly 495570 nm. Conversation:  Apprentice: My favorite color is green! I like it's such a pretty color! Do you like green?  Wizard: Green is the color between blue and yellow   Apprentice: That makes sense! I remember mixing blue and yellow paint in school to make green.  My favorite shade is like an emerald green."
600,Cardigan (sweater),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Apprentice: Hey, do you like cardigans?  Wizard: I like the modern version without no buttons and hangs open by design.  Apprentice: Me too. My fav is the waterfall style but it's going out of fashion now I think"
601,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: no_passages_used Conversation:  Wizard: Skiers used to only use one pole or spear instead of two. Have you every gone skiing?  Apprentice: I haven't ever gone skiing, but my kids do and love it. Maybe one of these days I'll try it out. Do you ski?  Wizard: I used to ski when I was younger, but I switched to snowboarding. I found there was less equipment to keep track of on the mountains.   Apprentice: Snowboarding completely eliminates the needs for those poles too. Interesting that they used to only use one pole. Maybe they were the first snowboarders!"
602,Nickelback,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles. Conversation:  Apprentice: Nickelback is the best band that has ever existed on this earth.  Wizard: I like them too. They're Canadian and started in 1995. Until recently I didn't know they were formed that long ago  Apprentice: Yes, they are better then The Beatles. Rock Gods, Chad the lead singer is my Jesus."
603,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Harry Potter is a series of fantasy novels written by British author J. K. Rowling. Conversation:  Wizard: Have you ever read harry potter the philosophers stone?   Apprentice: I have not but I intend to soon enough, have you?  Wizard: I have read the harry potter and the sorcerers stone, as i understand they are the same.   Apprentice: Is Harry Potter and the Sorcerer's Stone the first book of the series?"
604,Waterfowl hunting,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In many western countries, commercial waterfowl hunting is prohibited, and duck hunting is primarily an outdoor sporting activity. Conversation:  Apprentice: Have you ever been waterfowl hunting?  Wizard:  I have not been waterfowl hunting. Do you just hunt birds that are near the water?  Apprentice: Sort of yes, it is duckhunting and you sometimes have a dog with you to retrieve them"
605,Drama school,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Some schools make this a two-stage process. Conversation:  Wizard: I love the fact that entry into drama school involves a competitive process. It makes the students more dedicated.  Apprentice: I don't really know much about drama school. Is it really highly competitive?   Wizard: Because there are not as many schools that offer this degree, the kids usually are competing for spots.  Apprentice: So the kids have to compete just to get into the schools themselves? Do they have official competitions of some kind?"
606,Instagram,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It was created by Kevin Systrom and Mike Krieger, and launched in October 2010 as a free mobile app exclusively for the iOS operating system. Conversation:  Apprentice: I spend a lot of time on instagram but I don't really like it.  Wizard: I like instragram because there aren't many photo apps that are desktop and mobile with such high level of quality  Apprentice: I guess that is true, I just don't like those ads!!"
607,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It can range from chanting slogans to intense physical activity. Conversation:  Apprentice: I never tried to be a cheerleader, but they were always popular in school. What about you?  Wizard: Cheerleading is a team sport with encouragement  Apprentice: Yes, they have lots of spirit too."
608,Skiing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings. Conversation:  Wizard: I have never been skiing before.  Is it a fun activity?  Apprentice: Honestly, I have no idea as I've never been skiing either. I can't even skate so I doubt I'd be able to ski.   Wizard: I actually can't skate either. LOL.  I know that skiing is a poppular winter sport though for many  Apprentice: Yes it is. It looks hard to do. Even if you could get your balance, to actually navigate the snow would be hard."
609,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"". Conversation:  Apprentice: Hi, I love Elvis Presley. How about you?  Wizard: I also am a fan.  He began his career way back in 1954  Apprentice: That's long ago, how long did his career last?"
610,Ireland,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The civil war was waged between two opposing groups, Irish republicans and Irish nationalists, over the Anglo-Irish Treaty. Conversation:  Wizard: I've always wanted to visit Ireland, to see the lush vegetation and other beautiful scenery.  Apprentice: The recent history is so sad for such a beautiful country  Wizard: Yes, five-sixths of the land comprimises Ireland, but Northern Ireland is still in the United Kingdom.  Apprentice: Throw in this Brexit business which only makes things worse."
611,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States. Conversation:  Apprentice: I like to listen to Elvis! Have you heard him?  Wizard: Yeah my favorite song of his is ""Hound Dog"" written by Jerry Leiber.  Apprentice: Yes, I love that song! I really like his version of ""My Way"""
612,Auto racing,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A V8 engine is an eight-cylinder V configuration engine with the cylinders mounted on the crankcase in two sets (or banks) of four, with all eight pistons driving a common crankshaft. Conversation:  Wizard: I love race cars! Auto racing is very exciting to me.  Apprentice: Awesome! Do you race yourself, or just watch?  Wizard: I just watch, I wish I could race! I've been to the INDY 500 a few times though.  Apprentice: I bet that was exciting!  Did you cheer for anyone in particular?"
613,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Apprentice: Hi! I really like bowling. Do you know anything about it?  Wizard: I enjoy it too, even when I am not good at it. But I know it is one of the major forms of throwing sports.  Apprentice: That's true. I heard that at most places you have to actually pay to rent shoes. "
614,Online shopping,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A typical online store enables the customer to browse the firm's range of products and services, view photos or images of the products, along with information about the product specifications, features and prices. Conversation:  Apprentice: I shop online so much! I love it because i can read reviews  Wizard: I love it too! It allows me to buy anything over the internet with just my browser.  Apprentice: isn't it amazing? and then it gets delivered right to your door"
615,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: Hello, I bet you must bowled before.It is a leisure activity in which that involves rolling of the ball  Apprentice: No, I haven't. What is the objective of the game?  Wizard: It's simple just throw a bowling ball so that it eliminates  a target.  Apprentice: What is the target?"
616,American football,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Michigan was independent of any conference until 1896 when it became one of the founding members of the Western Conference (now known as the Big Ten Conference). Conversation:  Wizard: Football points are mostly scored through touchdowns, but field goals, safetys, and extra points matter, too.  Apprentice: Yes - field goals especially can save a game  Wizard: American Football was invented in the US, sort of a rugby soccer hybrid.  Apprentice: yes and our players seem to be a lot bigger than rugby players"
617,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States. Conversation:  Wizard: were you aware that the famous musician Elvis' middle name was Aaron?  Apprentice: no, i wasn't ! I guess i learned something new today. :) i don't know much about Elvis. Where is he from?  Wizard: He was born in Tupelo Mississippi, but relocated to Memphis when he was 13.   Apprentice: wow, my husband is from Mississippi! I bet they have Elvis museum somewhere in MS"
