prompt,output
"Context: On the economic front, Jayewardene's legacy was decisive. For thirty years after independence, Sri Lanka had struggled in vain with slow growth and high unemployment. Since Jayewardene's reforms, the island has maintained healthy growth despite the civil war.  On the e Question: What reforms? Answer: None. Question: What legacy did J.R. have Answer: On the economic front, Jayewardene's legacy was decisive. Question: How was it decisive? Answer: Since Jayewardene's reforms, the island has maintained healthy growth despite the civil war. Context: Accounts of the life of Quang Duc are derived from information disseminated by Buddhist organizations. He was born in the village of Hoi Khanh, in Van Ninh District of Khanh Hoa Province in central Vietnam as Lam Van Tuc, one of se Question: Did he write anything? Answer: None. Question: Are there any other interesting aspects about this article? Answer: At the age of seven, he left to study Buddhism under Hoa thuong Thich Hoang Tham, who was his maternal uncle and spiritual master. Question: Where was he born? Answer: He was born in the village of Hoi Khanh, in Van Ninh District of Khanh Hoa Province in central Vietnam as Lam Van Tuc, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is owned by Facebook. Conversation:  Apprentice: Do you use instagram alot?  Wizard: Let's talk about Instagram today. It's a photo-sharing social media platform. Do you use it?  Apprentice: I actually don't use it but my niece and mom use it all the time.  do you like to use it?","<pad> Jayewardene's legacy was decisive. For thirty years after independence, Sri"
"Context: The Roots originated in Philadelphia with Ahmir ""Questlove"" Thompson and Tariq ""Black Thought"" Trotter while they were both attending the Philadelphia High School for the Creative and Performing Arts. They would busk out on the street corners with Questlove playing bucket drums and Tariq rapping over his rhythms. Their fir Question: are there any other members? Answer: None. Question: How did they get their start? Answer: The Roots originated in Philadelphia with Ahmir ""Questlove"" Thompson and Tariq ""Black Thought Question: what was their playing style? Answer: playing bucket drums and Tariq rapping over his rhythms. Context: On July 1, 2011, Soulfly has announced that the group has recruited former Static-X and current Asesino, and then Prong, and Ministry bassist Tony Campos into the band, replacing former bassist Bobby Burns, who left the group in July of last year.  In August 2011, Joe Nunez was replaced by Borknagar drummer David Kinkade. In Septem Question: was that successful Answer: None. Question: what line up changes did they have Answer: On July 1, 2011, Soulfly has announced that the group has recruited former Static-X and current Asesino, Question: what do they do now in the band Answer: In August 2011, Joe Nunez was replaced by Borknagar drummer David Kinkade. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"". Conversation:  Wizard: It makes me so sad that Kurt Cobain struggled with heroin addiction and mental illness.  Apprentice: Who is Kurt Cobain?  Wizard: Kurt Cobain was an American songwriter, singer, and musician, most famous for being in the band Nirvana.  Apprentice: Tell me more about Kurt Cobain","<pad> The Roots originated in Philadelphia with Ahmir ""Questlove"" Thompson and Tari"
"Context: About 1870, Russell and his father established a group with a number of acquaintances to undertake an analytical study of the Bible and the origins of Christian doctrine, creed, and tradition. The group Question: did anyone agree with him? Answer: None. Question: what were his beginnings? Answer: About 1870, Russell and his father established a group Question: Are there any other interesting aspects about this article? Answer: undertake an analytical study of the Bible and the origins of Christian doctrine, creed, and tradition. Context: Stockhausen, along with John Cage, is one of the few avant-garde composers to have succeeded in penetrating the popular consciousness (Anon. 2007b; Broyles 2004; Hewett 2007). The Beatles included his face on the cover of Sgt. Pepper's Lonely Hearts Club Band (Guy and  Question: Did he influence any other muscians Answer: None. Question: What wider cultural renown was Stockhausen known for? Answer: Stockhausen, along with John Cage, is one of the few avant-garde composers to have succeeded in penetrating the popular consciousness Question: How was he able to penetrate the popular consciousness Answer: The Beatles included his face on the cover of Sgt. Pepper's Lonely Hearts Club Band Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: I just came home from playing Bowling! one of the major forms of throwing sports! you like to ball?  Apprentice: i do! It's been a while though. i don't really think i'm good at bowling lol  Wizard: Well the main target is to usually knock over pins at the end of a lane, but the other reason could be having fun with friends!  Apprentice: do you know when this game was originated? or who created bowling?",<pad> The Beatles included his face on the cover of Sgt. Pepper's Lonely
"Context: Faber started well in the minor leagues. He pitched 15 games for Dubuque in 1909 and retur Question: Were there any downfalls in his career? Answer: None. Question: When did Red's career start? Answer: minor leagues. Question: When did he start in thge minor leagues? Answer: 1909 Context: The Doors staged a return to form with their 1970 LP Morrison Hotel, their fifth album. Featuring a consistent hard rock sound, the album's opener was ""Roadhouse Blues"". The recor Question: Was that  song a success? Answer: None. Question: What is Morrison hotel? Answer: their fifth album. Question: what is a song from this album? Answer: ""Roadhouse Blues"". Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The hot dog's cultural traditions include the Nathan's Hot Dog Eating Contest and the Oscar Mayer Wienermobile. Conversation:  Wizard: Hot dogs are my favorite foods, its a cooked sausage, traditionally grilled or steamed and served in a partially sliced bun  Apprentice: I love hot dogs fresh off the grill with some coleslaw.  Wizard: Me to, i like to put some garnishes too, garnishes include mustard, ketchup, onions, mayonnaise   Apprentice: You do mayonnaise I will pass but I over to put mustard and ketchup. Do you eat yours with fried or chips?",<pad> Red's career started in the minor leagues.</s>
"Context: The nomadic tribes historically survived on hunting and gathering, and the American Bison was one primary resource for items which people used for everyday life, including Question: What did the Indians gather? Answer: None. Question: What is the main point of the article? Answer: The nomadic tribes historically survived on hunting and gathering, Question: What did the Indians hunt? Answer: American Bison was one primary resource for items which people used for everyday life, Context: Franklin went to Newnham College, Cambridge in 1938 and studied chemistry within the Natural Sciences Tripos. There she met the spectroscopist Bill Price, who worked with her as a laboratory demonstrator and who later became one of her senior colleagues at King's College London. In 1941, she was awarded second-class honours from her final exams. The disti Question: what happened to her during WW II? Answer: None. Question: what happened with Rosalind and Cambridge? Answer: Franklin went to Newnham College, Cambridge in 1938 and studied chemistry within the Natural Sciences Tripos. Question: did he graduate? Answer: In 1941, she was awarded second-class honours from her final exams. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Apprentice: my sister is a cherrleader and is one of the best in her school team  Wizard: So they are a pretty physically active team and not one that just does the chants?  Apprentice: yeah they are, they go to competitions all the time. Could you tell me more about cheerleading?","<pad> The nomadic tribes historically survived on hunting and gathering, and the American Bison was"
"Context: On April 16, 1962, Cronkite succeeded Douglas Edwards as anchorman of the CBS's nightly feature newscast, tentatively renamed Walter Cronkite with the News, but later the CBS Evening News on September 2, 1963, when the show was expanded from 15 to 30 minutes, making Cronkite the anchor of American network television's first nightly half-hour news program. Cronkite's tenure as anchor of the CBS Evening News made him an icon in television news.  During t Question: Was he offered another position by another news channel while at CBS? Answer: None. Question: When did Walter join CBS Evening news? Answer: but later the CBS Evening News on September 2, 1963, Question: for how long was he the anchor of CBS evening News? Answer: Cronkite's tenure as anchor of the CBS Evening News made him an icon in television news. Context: Carpenter's first album, ""Hometown Girl"" was produced by John Jennings and was released in 1987. Though songs from Hometown Girl got play on public and college radio stations, it was not until Columbia began promoting Carpenter as a ""country"" artist that she found a wider audience. For a lon Question: did she stay with columbia records Answer: None. Question: what country label was interested in carpenter Answer: Columbia Question: did carpenter sign with columbia records Answer: Columbia began promoting Carpenter as a ""country"" artist that she found a wider audience. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100. Conversation:  Apprentice: Have you heard of the band Guns N' Roses?   Wizard: I have! They released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.; that's amazing!  Apprentice: It is amazing. They formed in 1985 in Las Angeles, Ca. ",<pad> For a long time.</s>
"Context: Gurney's plays often explore the theme of declining upper-class ""WASP"" (White Anglo-Saxon Protestant) life in contemporary America. The Wall Street Journal has called his works ""penetratingly witty studies of the WASP ascendancy in retreat."" Several of his works are loosely based on his patrician upbringing, including The Cocktail Hour and Indian Blood. The New Y Question: did he ever act in his plays? Answer: None. Question: Did A.R. Gurney ever produce romantic plays? Answer: Gurney's plays often explore the theme of declining upper-class ""WASP"" (White Anglo-Saxon Protestant) life in contemporary America. Question: What other kind of plays did he write? Answer: Several of his works are loosely based on his patrician upbringing, including The Cocktail Hour and Indian Blood. Context: Influenced during his apprenticeship by the radical preacher John Goodwin, who said  Question: how did he meet Goodwin? Answer: None. Question: what political party does he belong to? Answer: Culpeper became a radical republican and opposed the ""closed shop"" of medicine Question: who influenced him to become a republican? Answer: Influenced during his apprenticeship by the radical preacher John Goodwin, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Motivation theories can be classified on a number of bases:  Motivation as a desire to perform an action is usually defined as having two parts, directional such as directed towards a positive stimulus or away from a negative one, as well as the activated ""seeking phase"" and consummatory ""liking phase"". Conversation:  Wizard: How are you with Motivation?  I know that it is the reason for our actions desires and needs  Apprentice: I love motivation because it gets you inspired to do different things  Wizard: Yes it is what gets us to act in a certain way or have a certain behavior.   Apprentice: correct . It also gets us to accomplish task and set out goals for what we want to accomplish in life",<pad> No.</s>
"Context: Many bands have auxiliaries that add a visual component to the performance. For ceremonial bands, this could be a traditional color guard or honor guard. For drum & bugle corps and corps-style field bands, this could include Dance lines, majorettes, Auxiliary units may be collectively referred to as color guard or visual ensemble.  Auxiliaries may perform as independent groups. In the early 1970s, color guards began to hold their own competitions in the winter (after the  Question: Are there famous color guards Answer: None. Question: what auxillaries go with bands Answer: Many bands have auxiliaries that add a visual component to the performance. For ceremonial bands, this could be a traditional color guard or honor guard. Question: What else could there be Answer: Auxiliaries may perform as independent groups. In the early 1970s, color guards began to hold their own competitions in the winter ( Context: In 1981, Blitz Clu Question: Who produced the record? Answer: None. Question: How did the band form? Answer: George decided to start his own band and enlisted bassist Mikey Craig, drummer Jon Moss, and finally guitarist Roy Hay. Question: When did this happen? Answer: In 1981, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Some strains of corn (taxonomized as ""Zea mays"") are cultivated specifically as popping corns. Conversation:  Wizard: Popcorn is based on the corn kernel.  Apprentice: Popcorn is delicious and a healthy snack if made right. I am actually eating some as we speak haha  Wizard: Some strains of corn are specifically for popping, apparently.  Apprentice: That's interesting, I assumed all kernels could be popped and wasn't aware that there were different strains. How many other strains are there?","<pad> Some strains of corn (taxonomized as ""Zea mays"") are"
"Context: At the 1964 Summer Olympics, in Tokyo, Hayes had his finest hour as a sprinter. First, he won the 100m and in doing so tied the then world record in the 100 m with a time of 10.06 seconds, even thou Question: How many olympics did he participate in? Answer: None. Question: What years did he participate in the Olympics? Answer: At the 1964 Summer Olympics, in Tokyo, Hayes had his finest hour as a sprinter. Question: What events did he participate in, in the 1964 Olympics? Answer: First, he won the 100m and in doing so tied the then world record in the 100 m with a time of 10.06 seconds, Context: Houdini performed at least three variations on a buried alive stunt during his career. The first was near Santa Ana, California in 1915, and it almost cost Houdini his life. Houdini was buried, without a casket, in a pit of earth six feet deep. He became exhausted and panicked while trying to dig his way to the surface and called for help. When his hand finally broke the surface, he fell unconscious and had t Question: how long did the stunt last? Answer: None. Question: what year did he do the buried alive stunt? Answer: The first was near Santa Ana, California in 1915, and it almost cost Houdini his life. Question: how did he almost die? Answer: He became exhausted and panicked while trying to dig his way to the surface and called for help. When his hand finally broke the surface, he fell unconscious Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: What do you know about american football? Do you have a favorite team?  Wizard: I actually don't know much other than the team with the most points at the ends wins. Do you have a team?  Apprentice: American football","<pad> The first was near Santa Ana, California in 1915, and it almost cost Houdin"
"Context: Mark Reed Levin, one of three boys, was born in Philadelphia, Pennsylvania, and grew up in Erdenheim as well as Elkins Park, Pennsylvania. His father, Jack E. Levin, is the author of several books. He graduated from Cheltenham High School after thr Question: When did he fist appear on TV? Answer: None. Question: When was Mark Levin born? Answer: B.A. in Political Science in 1977 at age 19. Question: What school did he graduate from? Answer: He graduated from Cheltenham High School Context: Born Robert Sanders in Kansas City, Missouri on January 14, 1933, Brakhage was adopted and renamed three weeks after his birth by Ludwig Question: did he end up having any siblings? Answer: None. Question: when was he born? Answer: January 14, 1933, Question: where was he born? Answer: Born Robert Sanders in Kansas City, Missouri on January 14, 1933, Brakhage was adopted and renamed three weeks after his birth Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: When it is winter in the Northern Hemisphere, it is summer in the Southern Hemisphere, and vice versa. Conversation:  Wizard: Winter is my favorite season and also the coldest of the year. How do you feel about winter?  Apprentice: coldest season of the year in polar and temperate zones  Wizard: You are right I forgot that tropical zones don't experience winter at all.  Apprentice: Funny enough people in the tropical regions always wish for it as much as those in temperate wait for summer","<pad> When it is winter in the Northern Hemisphere, it is summer in the Southern He"
"Context: The music video for ""Hit 'Em Up"" was filmed in a warehouse off Slauson Avenue near Fox Hills Mall in Los Angeles in May 1996. It was filmed by the production company Look Hear Productions. Shakur ra Question: What wa the cost to make it? Answer: None. Question: when was it released? Answer: May 1996. Question: Who produced it? Answer: It was filmed by the production company Look Hear Productions. Context: On many occasions, Doom's only real weakness has been his arrogance. Layla Miller once reflected that Doom is incapable of accepting that he himself might be the reason for his failures. This is m Question: Who is Layla Miller? Answer: None. Question: What is Doctor Doom like? Answer: On many occasions, Doom's only real weakness has been his arrogance. Question: In what ways has his arrogance affect him? Answer: Layla Miller once reflected that Doom is incapable of accepting that he himself might be the reason for his failures. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: Blue and yellow are beautiful colours but green is amazing, it's a mix of both!  Apprentice: Green is actually my favorite color!  Wizard: I tend to change my favourite colours. Gendar, age and culture are a big influence on how people perceive colours.  Apprentice: Yeah that makes a lot of sense, when I was younger my favorite color was different.","<pad> The music video for ""Hit 'Em Up"" was filmed in a"
"Context: The band's second album, Colour by Numbers (UK No. 1, US No. 2), was released in 1983. The first Question: Did they have other top hits? Answer: None. Question: What was Colour by Numbers? Answer: The band's second album, Question: When was it released? Answer: released in 1983. Context: West Yorkshire Police were criticised for being inadequately prepared for an investigation on this scale. It was one of the largest investigations by a British police force and predated the use of computers. Information on suspects was stored on handwritten index cards. Aside fro Question: Did anyone represent him? Answer: None. Question: Why did he criticize the Yorkshire police? Answer: West Yorkshire Police were criticised for being inadequately prepared for an investigation on this scale. Question: What was the investigation? Answer: It was one of the largest investigations by a British police force and predated the use of computers. Information on suspects was stored on handwritten index cards. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: Green is my favorite color especially because money is green lol.  Wizard: I do love the color of money! lol Green is actually the color between blue and yellow on the spectrum.  Apprentice: Really I did not know that you must know about your colors do you like green kale shakes?",<pad> No</s>
"Context: After he had been coaching at Dundee for 18 months, the club's local rivals Dundee United offered McLean the position of manager to replace the retiring Jerry Kerr in December 1971. He accepted the offer and began his managerial career at the ag Question: Did he have any famous players Answer: None. Question: When did he get into management Answer: After he had been coaching at Dundee for 18 months, the club's local rivals Dundee United offered McLean the position of manager Question: Did he take the job? Answer: He accepted the offer and began his managerial career Context: A June 2008 profile in The New Yorker detailed several controversies involving Adelson. In 2008 Richard Suen, a Hong Kong businessman who had helped Adelson make connections with top Chinese officials in order to obtain the Macau license, took Adel Question: Did he actually donate the money? Answer: None. Question: What is significant about this time of litigation? Answer: Suen won a $43.8 million judgement; in November 2010, the Nevada Supreme Court overturned the judgment and returned the case to the lower court for further consideration. Question: What was the judgement due to? Answer: In 2008 Richard Suen, a Hong Kong businessman who had helped Adelson make connections with top Chinese officials in order to obtain the Macau license, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Such reasons can involve things which are directly internal to the relationship, or external factors, which may or may not be within their direct control. Conversation:  Apprentice: Hello. I'm involved in an on-again, off-again relationship, and I don't think my girlfriend understands.  Wizard: Do you think the inabity to keep the relationship going is due to factors insided the relationship or some external factor beyond your control?  Apprentice: I'm not sure. What do you think is usually the case in relationships like this?",<pad> The inability to keep the relationship going is due to factors insided the relationship or
"Context: Breaking with the Federal Theatre Project in 1937, Welles and Houseman founded their own repertory company, which they called the Mercury Theatre. The name was inspired by the title of the iconoclastic magazine, The American Mercury. Welles was executive producer, and the o Question: What role did Houseman play? Answer: None. Question: What was Mercury Theatre? Answer: in 1937, Welles and Houseman founded their own repertory company, which they called the Mercury Theatre. Question: What did the company do? Answer: Welles was executive producer, Context: Augusta Evans Wilson was not a professional writer and her style was severely criticized as ""pedantic."" She wrote in the domestic, sentimental style of the Victorian Age. Critics have praised the intellectual competence of her female characters, but as her heroes eventually succumb to traditional values, Wilson ha Question: did she get any awards? Answer: None. Question: what was the response to her work? Answer: her style was severely criticized as ""pedantic. Question: why was it criticized so? Answer: Critics have praised the intellectual competence of her female characters, but as her heroes eventually succumb to traditional values, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In modern times, it is mainly a competitive sport and recreational activity. Conversation:  Apprentice: Archery is a really fun sport.  Wizard: Archery is a fun skill to have. The name actually comes from the Latin word ""arcus.""  Apprentice: Interesting.  When was archery first used?","<pad> Welles was executive producer, and the o</s>"
"Context: The Mandaeans have a large corpus of religious scriptures, the most important of which is the Ginza Rba or Ginza, a collection of history, theology, and prayers.  The Ginz Question: Which says what? Answer: None. Question: What are some scriptures they follow? Answer: The Mandaeans have a large corpus of religious scriptures, the most important of which is the Ginza Rba or Ginza, Question: What does that one ask or profess? Answer: collection of history, theology, and prayers. Context: Along with her television work, Ullman has featured in many films throughout her career. Her first theatrical film was a small role in Paul McCartney's 1984 film Give My Regards to Broad Street. This was followed by a supporting role in the 1985 Meryl Streep drama Plenty. She re-teamed with Streep for 1992's Death Becomes Her, playing T Question: did she win other awards? Answer: None. Question: what movies were performed in? Answer: Her first theatrical film was a small role in Paul McCartney's 1984 film Give My Regards to Broad Street. Question: any other films? Answer: a supporting role in the 1985 Meryl Streep drama Plenty. She re-teamed with Streep for 1992's Death Becomes Her, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: When it is winter in the Northern Hemisphere, it is summer in the Southern Hemisphere, and vice versa. Conversation:  Wizard: Winter is the coldest season of the year in polar and temperate zones  Apprentice: I live in a frequently-cold climate, so I am experienced with the cold.  Are you?  Wizard: I try to adapt to the vagaries of the weather. is caused by the axis of the Earth in that hemisphere being oriented away from the Sun.  Apprentice: In my area, they say ""If you don't like the weather, just wait ten minutes.""  So adaptation to vagarities is the norm.",<pad> Winter is the coldest season of the year in polar and temperate zones.</s>
"Context: In 2002, Erdogan inherited a Turkish economy that was beginning to recover from a recession as a result of reforms implemented by Kemal Dervis. Erdogan supported Finance Minister Ali Babacan in enforcing macro-economic policies. Erdogan tried to attract more foreign investors to Turkey and lifted many government regulations. The cash-flow into the Turkish economy between 2002 and 2012 caused a growth of 64% in real GDP and a 43% increase in GDP per capita; considera Question: Who/What is IMF? Answer: None. Question: What has been the state of the economy under Recep? Answer: In 2002, Erdogan inherited a Turkish economy that was beginning to recover from a recession as a result of reforms implemented by Kemal Dervis. Question: Has the economy improved? Answer: The cash-flow into the Turkish economy between 2002 and 2012 caused a growth of 64% in real GDP and a 43% increase in GDP per capita; Context: Serling moved from radio to television, as a writer for WKRC-TV in Cincinnati. His dutie Question: did he write popular books? Answer: None. Question: was he ever on television? Answer: Serling moved from radio to television, as a writer for WKRC-TV in Cincinnati. Question: what shows did he write for? Answer: as a writer for WKRC-TV in Cincinnati. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Apprentice: I really like bowling, I thought of turning professional once.   Wizard: Why didn't you? It is considered a throwing sport.  Apprentice: Well I did it for so long I guess my passion kind of fizzled out. You need to be really dedicated to go pro in anything. Are you big into sports yourself?",<pad> The cash-flow into the Turkish economy between 2002 and 2012 caused a growth of 64%
"Context: On December 11, 2011, Odom was traded to the Dallas Mavericks, the defending NBA champions, for a fir Question: What did he achieve during this year? Answer: None. Question: When did Odom join the Mavericks? Answer: On December 11, 2011, Question: What did he play/ Answer: NBA champions, Context: On June 6, 2000, Hed PE appeared on the tribute album Nativity in Black II, covering Black Sabbath's ""Sabbra Cadabra"". Hed PE released their second studio album, Broke on August 22, 2000. It peaked at No. 63 on the Billboard 200, while its Question: Did it win any awards? Answer: None. Question: What is Broke? Answer: Hed PE released their second studio album, Broke on August 22, 2000. Question: Was it a success? Answer: It peaked at No. 63 on the Billboard 200, Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is owned by Facebook. Conversation:  Apprentice: I use social media a lot, but mainly Facebook and Twitter.  I have an Instagram account, but don't really understand why it's so popular.  Wizard: Instagram is a photo sharing app and is used on mobile, internet and desktop. The users will share pictures and video.  Apprentice: That's what I don't get.  I can share pictures on Facebook with a narrative.  Instagram doesn't have much writing.  Is that what people want now?",<pad> The defending NBA champions</s>
"Context: Cousy took up basketball at the age of 13 as a student at St. Pascal's elementary school, and was ""immediately hooked"". The following year, he entered Andrew Jackson High School in St Albans. His basketball success was not immediate, and in fact he was cut from the school team in his first year. Later that year, he joined the St. Albans Lindens of the Press League, a basketball league sponsored by the Long Island Press, where he began to develop his basketball skills and gained mu Question: DId he become a profession after high school? Answer: None. Question: Did he play basket ball for Andres Jackson High school? Answer: he entered Andrew Jackson High School in St Albans. His basketball success was not immediate, and in fact he was cut from the school team in his first year. Question: Did he ever go back to balling? Answer: he joined the St. Albans Lindens of the Press League, a basketball league sponsored by the Long Island Press, where he began to develop his basketball skills and Context: One of Hunter's first films for Warners was The Sea Chase (1955), supporting John Wayne and Lana Turner. It was a big hit, but Hunter's part was relatively small. Rushes we Question: did he act in any TV shows? Answer: None. Question: When did Tab sign on with warner bros? Answer: One of Hunter's first films for Warners was The Sea Chase (1955), Question: did the film do well? Answer: It was a big hit, but Hunter's part was relatively small. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: hi, just read that a ""turkey"" is when you get 3 strike in a row in bowling   Apprentice: I dont bowl much is it hard  Wizard: no, it's easy. that's why i like it. it's almost like an arcade game  Apprentice: Yeah i guass it can be fun","<pad> After high school, he did not become a profession.</s>"
"Context: Goldfrapp's second album Black Cherry was released in April 2003. The band recorded the album in a darkened studio in Bath, England. The album focused more heavily on dance music and glam rock-inspired synths than its predecessor. Alison Go Question: How many songs in total did the album have? Answer: None. Question: When did the album release? Answer: in April 2003. Question: What type of music was on the album? Answer: The album focused more heavily on dance music and glam rock-inspired synths than its predecessor. Context: West's recording career started in the early 1930s with releases of her film songs on shellac 78 rpm records. Most of her film songs were released as 78s, as well as sheet music. In 1955, she recorded her first album, The Fabulous Mae West. In 1965,  Question: Did she write that song? Answer: None. Question: When did West start making records? Answer: early 1930s Question: What song did she first record? Answer: The Fabulous Mae West. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: I used to hunt deer, but I haven't been in some time. Do you like hunting or trapping?  Apprentice: I have never gone hunting before so I'm not sure  Wizard: Well, technically, it can also be a means of pest control. So it's not just about gaming. Do you have a pest issue in your area?  Apprentice: I do not have a pest issue in my area, I did not know pest control and hunting could be the same",<pad> No</s>
"Context: Dreamgirls musical supervisors Randy Spendlove and Matt Sullivan hired R&B production team The Underdogs -- Harvey Mason, Jr. and Damon Thomas -- to restructure and rearrange the Henry Krieger/Tom Eyen Dreamgirls score so that it better reflected its proper time period, yet also reflected then-modern R&B/pop sensibilities. During po Question: did the soundtrack recieve any awards? Answer: None. Question: What was the music like? Answer: hired R&B production team The Underdogs -- Harvey Mason, Jr. and Damon Thomas -- to restructure and rearrange the Henry Krieger/Tom Eyen Dreamgirls score Question: how did the restructure it? Answer: so that it better reflected its proper time period, yet also reflected then-modern R&B/pop sensibilities. Context: Noll's legacy includes providing opportunities for African Americans. Under Noll, Joe Gilliam became the league's first African American starting quarterback just a fe Question: why did they name a street after him? Answer: None. Question: What was his legacy? Answer: providing opportunities for African Americans. Question: how did he do that? Answer: Under Noll, Joe Gilliam became the league's first African American starting quarterback Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading. Conversation:  Wizard: Hello! I've been a cheerleader for 10 years. I absolutely love it!  Apprentice: Sounds cool, I know some cheerleaders and they all love it.  Wizard: I bet. It really got popular around 2000 when the movie ""Bring It On"" was released.  Apprentice: That would make sense, as that was a big movie.",<pad> The soundtrack recieved no awards.</s>
"Context: From 1974 to 1976, Dierdorf started every game at right tackle for the Cardinals during a three-year span in which the team compiled records of 10-4, 11-3, and 10-4 under head coach Don Coryell. In 1977,  Question: what was their best game? Answer: None. Question: what happened with dan in 1974 Answer: From 1974 to 1976, Dierdorf started every game at right tackle for the Cardinals during a three-year span in Question: during a three-year span in what? Answer: the team compiled records of 10-4, 11-3, and 10-4 under head coach Don Coryell. Context: In 1996, the band recorded and released their first full-length album, Curb. ""Fly"" was included on both Hesher and Curb and was the first single produced by Nickelback. In 1997,  Question: Did they tour at all during this time period? Answer: None. Question: When was Curb released? Answer: In 1996, the band recorded and released their first full-length album, Curb. "" Question: What singles were on that album? Answer: ""Fly"" was included on both Hesher and Curb and was the first single produced by Nickelback. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The species that are hunted are referred to as game or prey and are usually mammals and birds. Conversation:  Apprentice: Do you know much about hunting or do you enjoy it?  Wizard: I'm a fox hunter. I have a farm and they kill all my chickens.  Apprentice: I would be so mad if they killed my chickens!!!  Do you set up traps?",<pad> No</s>
"Context: Cronin was named player-manager of the Senators in 1933, a post he would hold for two years. In 1935,  Question: what other recognition did he receive? Answer: None. Question: Where was he a player manager? Answer: Cronin was named player-manager of the Senators in 1933, Question: How long did he work there? Answer: 1933, a post he would hold for two years. Context: Lewis ""Lew"" Wallace was born on April 10, 1827, in Brookville, Indiana. He was the second of four sons born to Esther French Wallace (nee Test) and David Wallace. Lew's fat Question: Did they have children? Answer: None. Question: Where was Lew born? Answer: in Brookville, Indiana. Question: Who were his parents? Answer: born to Esther French Wallace (nee Test) and David Wallace. Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The hot dog's cultural traditions include the Nathan's Hot Dog Eating Contest and the Oscar Mayer Wienermobile. Conversation:  Wizard: Hi! I absolutely adore hot dogs with mustard an onions - what's your favourite food?  Apprentice: Mmmm hot dogs. Actually I think that my favorite food is char-grilled octopus.  Wizard: That sounds great! Is it like street food? Can you buy it from stalls or at the market?  Apprentice: Not normally. I usually have to go down to the docks or the fish market. They'll grill it up around there.",<pad> Lew Wallace</s>
