prompt,output
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: When it is winter in the Northern Hemisphere, it is summer in the Southern Hemisphere, and vice versa. Conversation:  Wizard: I prefer the winter due to it being the coldest season.  Apprentice: Oh, not me! I am just the opposite..... I HATE the cold!  Wizard: I like that it has the shortest days and the longest night.  Apprentice: I guess we are pretty opposite people lol. I prefer long days with light, and getting darker later at night.",<pad> Wizard: I like that it has the shortest days and the longest night. Apprentice: I
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: I used to be really into bowling, both for the sport and the leisure.   Apprentice: I use to be in a bowling league.  Wizard: Cool, that was what I was in! It was mostly for leisure but it got really competitive which is why I kinda stopped bowling.  Apprentice: I only bowl for fun, I am not very good.",<pad> Wizard: I used to bowl a lot. I used to be in a bowling
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Apprentice: I enjoy bowling on occasion.  Wizard: Really, I love bowling as well. My friends and I quite often. I never get all pins tho  Apprentice: Oh no, me either! I use the bumpers even as an adult because I think it makes the game more exciting to not gutterball every move!",<pad> Wizard: I'm glad you like bowling. I love bowling as well. My
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Together they struggle to survive and adapt in a post-apocalyptic world filled with walkers and opposing groups of survivors, who are often more dangerous than the walkers themselves. Conversation:  Apprentice: I used to love The Walking Dead, but it's been forever since I've watched an episode.  I'm so far behind!  Wizard: yeah it's such a cool post-apocalyptic tv series  Apprentice: I'm usually not into that genre of movie or TV show, but the cliffhangers keep you hooked.","<pad> Apprentice: I used to love The Walking Dead, but it's been forever since I'"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: ""Billboard"" ranks them the most successful rock group of the decade; their song ""How You Remind Me"" was listed as the best-selling rock song of the decade and the fourth best-selling of the decade. Conversation:  Wizard: I love the band Nickelback. Brings me back to when i was in Junior High.  Apprentice: I've never heard of them. What genre of music do they play?  Wizard: Really?! They are a Canadian rock band. They first formed in Alberta, Canada!  Apprentice: I'm dead serious. Do you know what year they formed?","<pad> Wizard: Yes, they formed in Alberta, Canada in 1997.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: In the 2010s, ""multi-author blogs"" (MABs) have developed, with posts written by large numbers of authors and sometimes professionally edited. Conversation:  Apprentice: I started to blog recently. Mostly to review food.  Wizard: I love reading blogs. It's a great way to discuss topics in diary-style posts  Apprentice: It is a great way for someone to voice their opinions.",<pad> Apprentice started to blog recently. Mostly to review food. Wizard loves reading blogs. It'
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: Do you like harry potter? Harry Potter is a series of fantasy novels  Apprentice: Harry Potter is great.  I read all the books.  Im not sure if the lady who wrote it has any other books though  Wizard: She is a British author J. K. Rowling.  Apprentice: Oh yea, thats right.  What does J.K stand for?",<pad> J.K. Rowling</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By the 1930s specialist racing cars had developed. Conversation:  Apprentice: I like to study, collect and race cars in my free time.  Wizard: Same here !  Auto racing is also known as automobile racing  Apprentice: I think that sounds very old fashioned. lol. What cars do you race?","<pad> Apprentice likes to study, collect and race cars in his free time.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice: Hi I love the Harry Potter novels  Wizard: My younger daughter loved them too! She took me along to many of the films that were based on J.K. Rowling! I enjoyed them.  Apprentice: It is funny when the books first came out I was not into them or the movies",<pad> Harry Potter and the Philosopher's Stone</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The Organic Act of 1916 created the National Park Service ""to conserve the scenery and the natural and historic objects and wildlife therein, and to provide for the enjoyment of the same in such manner and by such means as will leave them unimpaired for the enjoyment of future generations."" Conversation:  Apprentice: I would love to visit a national park in the United States.  Wizard: You should.  The United States has 59 protected areas known as national parks.  Apprentice: Which parks are the most popular parks for tourist?","<pad> The most popular parks for tourist are Yellowstone, Grand Canyon, and Yosemite"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: Do you have a favorite color? Mine is green, it's a combination of blue and yellow  Apprentice:  Yes I have mine is green too  Wizard: I find that it's a soothing color. Do you have any other favorite colors?  Apprentice: Yes I do is red",<pad> Wizard: I like red too.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: Are you a fan of Elvis? He was a singer, musician, and actor from America. He was born in the '30s.  Apprentice: Yes I love Elvis!  Wizard: He is a legend and icon of the 20th century. He was referred to as the King.. can't get much cooler than that.  Apprentice: I know. I can't believe how well known and popular he still is and has so many impersonators. ","<pad> Elvis Presley was a singer, musician, and actor from America. He was born in"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Popularity for the goldendoodle grew in the 1990s when breeders in North America and Australia began crossing Golden Retrievers with Standard Poodles. Conversation:  Apprentice: I love dogs, I think my favorite is a Goldendoodle, have you ever heard of those?  Wizard: You mean the cress-breed dog, between a golden retriever and a Pooddle?  Apprentice: Yes that's the one, I love their curly hair!",<pad> The Goldendoodle is a cross between a golden retriever and a standard 
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Hunting can also be a means of pest control. Conversation:  Wizard: Hunting is the practice of killing or trapping animals, have you ever been hunting?  Apprentice: Yes I deer hunt every year, I prefer bow hunting  Wizard: Do you eat the meat? hunting wildlife is most commonly done by humans for food.  Apprentice: Yes I make my own sausage with deer meat and half pork it is very heart healthy and delicious, seasoned with red pepper","<pad> Apprentice: Yes, I make my own sausage with deer meat and half pork. It is"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The standard dialect moved from the Kansai region to the Edo (modern Tokyo) region in the Early Modern Japanese period (early 17th century–mid-19th century). Conversation:  Wizard: im starting to look into the japanese language however little is known of the language's prehistory  Apprentice: wow, that sounds interesting, I'm trying to learn German  Wizard: well chinese documents from the 3rd century recorded a few japanese words, but substantial texts did not appear until the 8th century.  Apprentice: omg, and how did you research that?",<pad> Wizard: I researched it on the internet.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: It's almost football season! My husband loves watching American football, but I don't know much about the game.  Wizard: I like football too, but am a bit rusty with all the rules.  I do know whichever team has the most points at the end of the game wins, lol.  Apprentice: Ha! That's about the extent of my knowledge! Do you know how long the NFL has been around? ","<pad> Apprentice: It's almost football season! My husband loves watching American football, but I don"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Apprentice: i love cheerleading!  Wizard: it is fun Cheerleading is an activity wherein the participants (referred to as ""cheerleaders"") cheer  Apprentice: where was it started?",<pad> Apprentice: I love cheerleading.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: (However, ""G. morhua callarias"", a low-salinity, nonmigratory race restricted to parts of the Baltic, was originally described as ""Gadus callarias"" by Linnaeus.) Conversation:  Wizard: Cod is actually named for a number of fish species.  Apprentice: it is named after the gadidae family  Wizard: Cod is popular with its mild flavor and dense, flaky, white flesh.  Apprentice: Cod fish is very important to nations economies","<pad> Cod is popular with its mild flavor and dense, flaky, white flesh.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Some strains of corn (taxonomized as ""Zea mays"") are cultivated specifically as popping corns. Conversation:  Wizard: I hate popcorn, cause it come from corn kernels.  Apprentice: really? i love to snack on popcorn  Wizard: I do not like that it contains the seeds hard, starchy endosperm.  Apprentice: i guess if you going to cut out starches it would make sense not to eat popcorn","<pad> Wizard: I hate popcorn, cause it come from corn kernels. Apprentice: Really? I"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Both folklore and archaeological finds show that the breed originated in Mexico. Conversation:  Apprentice: My parents just adopted a yappy little Chihuahua. Not so sure I'm stoked about the idea. I don't really know if they have any redeemable or interesting qualities, do you?  Wizard: Well, they descended from the Techichi, which was a favorite dog of the Toltec civilation in Mexico  Apprentice: Yeah, I imagined they would come from Mexico. I still don't understand why they're so small, though. Did they just get bred that way somehow?",<pad> The Chihuahua is a small dog that originated in Mexico.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The ""social-attachment system"" uses the ""pain system"" to encourage humans to maintain their close social relationships by causing pain when those relationships are lost. Conversation:  Wizard: I have been hurt severally from a broken relationship, broken heart a term metaphor for the intense emotional—and sometimes physical—stress or pain one feels   Apprentice: Wow! How are pulling through?  Wizard: I have been having emotional pain,  Emotional pain that is severe can cause 'broken heart syndrome',   Apprentice: What lead to the distress?where you jilted ?",<pad> Wizard: I have been hurt severally from a broken relationship. Emotional pain that
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: I just love listening to the KIng of Rock and Roll - Elvis Presley!  Apprentice: Elvis was really cool. What can you tell me about him?  Wizard: He was born in Tupelo, Mississippi but moved to Memphis, Tennessee with his family when he was 13.   Apprentice: Did Elvis grow up playing music?","<pad> Elvis was born in Tupelo, Mississippi but moved to Memphis, Tennessee with his family when"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: I really like the color green. It sits between yellow and blue on the visible light spectrum.  Apprentice: It's quite a nice color, I feel like it's the color of nature due to all the green trees and grass and what not.  Wizard: That is right. the color green in nature is mainly caused by chlorophyll. That is the chemical plants use for energy.  Apprentice: Oh that sounds interesting, can you tell me more about plants and chlorophyll?","<pad> Wizard: Well, chlorophyll is the chemical that plants use for energy.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The maximum score is 300, which is achieved by getting 12 strikes in a row. Conversation:  Wizard: Bowling is fun, but though. It's hard to imagine that some people can score a 300, which requires 12 strikes in a row.  Apprentice: I enjoy bowling but I am not very good!  Wizard: Tough not though, sorry. I'm not very good either, I'd love to even get three strikes in a row, which is called a turkey.  Apprentice: Oh wow I have never heard that before.  I didn't know they had special names for them","<pad> Wizard: I enjoy bowling, but I'm not very good. I'd love"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: Harry Potter books have attracted adult and young readers, and they helped young readers learn to enjoy reading.  Apprentice: I actually read those books in Middle School. I enjoyed them.  Wizard: I am not a fantasy fiction lover, but I work with people who are part of the Harry Potter fandom.  they engage in Harry Potter role playing games and such!  Do you  Apprentice: No, I'm not. Although, I do think that it is fun to dress up and pretend.","<pad> Harry Potter books have attracted adult and young readers, and they helped young readers learn to enjoy"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His first novel, ""A Time to Kill,"" was published in June 1989, four years after he began writing it. Conversation:  Wizard: I like the movies adapted from John Grisham books but to admit I don't really like the books. Thats the author John Ray Grisham Jr., born February 8, 1955.  Apprentice: I am the same way. I prefer the movies over the books,  Wizard: He's books though have been published worldwide and translated into 42 languages.  Apprentice: That is a lot of languages.","<pad> John Grisham's first novel, ""A Time to Kill,"" was published in"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice: I really like Harry Potter books, I have read them all.  Wizard: I do love the British author J. K. Rowling. Have you read her other stuff?  Apprentice: I have not. She is such a great writer though so I am sure it is all great. ",<pad> Harry Potter and the Philosopher's Stone was released on 26 June 1997.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings. Conversation:  Apprentice: skiing looks hard.  Wizard: It really does, even as a form of transport or recreation.  Apprentice: oh yea it seems dangerous too.",<pad> Apprentice: I think skiing is dangerous.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading. Conversation:  Wizard: Even as a plus size man I know how to rock the Cheer uniform. I always cheer for my team as a form of encouragement.  Apprentice: Nice!  Are you a cheerleader for a team?  Wizard: Dallas Cowboys they call me Big Cutie.  I love chanting slogans to intense physical activity.  Apprentice: Very nice Big Cutie!   I grew up in Virginia so I prefer the Redskins",<pad> Wizard is a Dallas Cowboys cheerleader. Apprentice grew up in Virginia so she
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It may be machine- or hand-knitted. Conversation:  Wizard: a cardigan is a sweater that has an open front. Do you like them?  Apprentice: I prefer leather jackets, but i am interested in Alpaca wool. the Incas used Alpaca to make their clothes.  Ask me about vicuna wool.  Wizard: Is vicuna wool similar to the wool obtained from sheep?  Apprentice: No, Vicuna is a type of small Alpaca.  They are only bred in Peru by law, and they can't be exported.  their wool is the most expensive fabric in the world.  A scarf costs $1700.",<pad> Wizard: What is a cardigan?</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: Hey there! I really love the color green. You?  Wizard: Yes green is my favorite color! It's between blue and yellow on the visible spectrum.  Apprentice: Haha, very true. My favorite shade would have to be forest green because it's such a rich color.",<pad> Wizard: I love green too. It's my favorite color. My favorite shade would have
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: Do you enjoy listening to Elvis Presley? His first single, ""Heartbreak Hotel"" was released way back in 1956, doesn't seem like it should be that long ago.  Apprentice: He's ok, but not really my generation. I think it have been what I liked if I'd been alive then.   Wizard: Have you ever seen one of the Elvis impersonators that sing some of Elvis's songs?  Apprentice: No, but that be fun I think.",<pad> Apprentice: I haven't. I think it would be fun to see one of the
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: Elvis Presley was an American singer, musician, and actor.  Apprentice: I knew he was a singer, but I never knew he was an actor!  Wizard: Yea with a series of successful tv appearances and chart-topping records, he became the leading figure of rock and roll.  Apprentice: Wow, I really didn't know that about him. What else do you know about Elvis then?","<pad> Elvis Presley was an American singer, musician, and actor.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting. Conversation:  Apprentice: My daughter wants to try out for cheerleading. Do you know anything about it?  Wizard: I know a lot about it.  It is one of the most rewarding sports out there.  I love giving encouragement to the team.  Is she excited?  Apprentice: Yeah all her friends are doing it too. Hope she makes the team.",<pad> Apprentice: I'm going to try out for cheerleading.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It stocks 7,000 candies from around the world. Conversation:  Wizard: Have you ever had candy from Dylan's Candy Bar? It's to die for! They're a chain of boutique candy shops!  Apprentice: I don't think I have heard of them. I should probably check them out since I love candy!  Wizard: There are currently locations in New York City, East Hampton, Los Angeles, Chicago and Miami Beach! Are you by one of those locations?  Apprentice: Oh my, I am quite far from all these places. But I visit NYC every summer so I will check it out next time!","<pad> Dylan's Candy Bar is a chain of boutique candy shops in New York City, East"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Lauren said that her goal was to ""merge fashion, art and pop candy culture"". Conversation:  Apprentice: I love chocolate bars.  Have you ever heard of Dylan's Candy Bar?  Wizard: I have heard of it, the daughter of Dylan Lauren owns it, but she is a fashion designer  Apprentice: Who is Dylan Lauren?",<pad> Dylan Lauren is a fashion designer. His daughter owns a candy bar.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Conversation:  Wizard: I love the color green because it's the color of plants and nature!  Apprentice: Do you have any specific plants that you enjoy the most?  Wizard: Many shades of green are named after plants, such as evergreen, a dark shade I like.  Apprentice: I like the different shades of green within the cannabis plant variety.  From the light to the dark and everything in between.",<pad> Wizard: I like the different shades of green within the cannabis plant variety. From the light to
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: These risks are greater the earlier a baby is born. Conversation:  Wizard: I was a premature infant. Thankfully I'm ok, but some premmies are at a greater risk for health issues like cerebral palsy, hearing and sight problems.  Apprentice: Really, I hope you have had a normal life.  Wizard: I have a completely normal life thankfully. Any infant born before 37 weeks gestational age is considered a premature birth.   Apprentice: Does this mean you will not develop any prob;ems later in life? I hope not.","<pad> Wizard: No, I'm fine. I was born at 37 weeks gestational age"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They are the principal means of transportation in many parts of the world. Conversation:  Wizard: I love to cycle called bicycling or biking, is the use of bicycles for transport, recreation,   Apprentice: I haven't ridden a bike in so long. I need to buy one.  Wizard:   Buy one, get one free""is a common form of sales promotion.  Apprentice: Yes, it's one of my favorite promotions.",<pad> Wizard: I love to cycle. I haven't ridden a bike in so
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues. Conversation:  Wizard: Are you a fan of the American singer, musician and actor Elvis Presley?  Apprentice: I don't know much about him, my grandmother loves him though. Wasn't he from Memphis?  Wizard: He was born in Tupelo, Mississippi actually, but later relocated to Memphis, Tennessee at only 13 years old.  Apprentice: Oh okay, interesting. Is it true he died on the toilet? Lol","<pad> Elvis Presley was born in Tupelo, Mississippi, but later relocated to Memphis,"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. Conversation:  Apprentice: My mother met Elvis.  Wizard: Really> Elvis was very talented he sang, was an actor and musician, tell me more about it!  Apprentice: Yes, it was before I was born, but she told me about it.","<pad> Apprentice: Elvis was very talented. He sang, was an actor and musician.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The paramedic role is closely related to other healthcare positions, especially the emergency medical technician role, with paramedics often being a higher grade role, with more responsibility and autonomy. Conversation:  Apprentice: Do you like medical science or have you ever considered being a paramedic?  Wizard: No but my friend was in the healthcare field and tried to become a paramedic  Apprentice: That's pretty cool. I drew blood the other day and the guy I was talking with was a former paramedic. I'm actually like 2.5 years from completing a biological science degree, so I'm definitely interested in medical science stuff.","<pad> Apprentice: I'm actually 2.5 years from completing a biological science degree, so I"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It is owned by Facebook. Conversation:  Apprentice: Hi. You know anything about Instagram? I don't know the first thing about it. I was thinking about trying it for my business.  Wizard: I don't have an instagram account but my mom, my niece and a lot of family do so I know some about it.  I know that it is a mobile photo sharing app that allows the user to share pictures publicly or privately to their followers  Apprentice: Yeah, I don't know. I'm a Facebook person. Been using it for about 12 years. I don't know much else. Except Twitter, but I rarely use that.","<pad> Apprentice: Hi, I'm wondering if you know anything about Instagram. I've"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The ""social-attachment system"" uses the ""pain system"" to encourage humans to maintain their close social relationships by causing pain when those relationships are lost. Conversation:  Wizard: Even though having a broken heart is part of our survival instinct, I really try to overcome it however possible.  Apprentice: Has it happened to you often  Wizard: Well it has happened a couple times in my life. The pain wasn't so severe as to cause physical damage, as happens in ""broken heart syndrome"".  Apprentice: Oh wow people actually suffer physical damage?","<pad> Wizard: Yes, but it's not so severe as to cause physical damage.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. Conversation:  Apprentice: hello dear who is Elvis Presley?  Wizard: He was an American singer, musician, and actor.  Apprentice: wow he is a whole lot","<pad> Elvis Presley was an American singer, musician, and actor.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The word ""ski"" is one of a handful of words Norway has exported to the international community. Conversation:  Wizard: I love skiing and I can't believe it has been around and has a history of almost five millennia!  Apprentice: Wow, that's a long time! Do you only ski recreationally?  Wizard: Yes, I'm too slow to be a competitive skier! I like to see it as a means of transport in which a participant uses skis to glide on snow.  Apprentice: Oh ok. How is modern day skiing different from the early days?","<pad> Wizard: Well, it's a lot faster now.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Instagram lets registered users upload photos or videos to the service. Conversation:  Wizard: nstagram is a mobile, desktop, and Internet-based photo-sharing app, do you use instagram?  Apprentice: Yeah,its as popular as Facebook  Wizard: It sure is!  It was created by Kevin Systrom and Mike Krieger.  Apprentice: Yeah Instagram is mainly for photo sharing I suppose","<pad> Instagram is a mobile, desktop, and Internet-based photo-sharing app.</s>"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal. Conversation:  Apprentice: I love watching the NFL. I'm anxious for the season to start, even though I think Houston (my team) will probably be terrible.  Wizard: I don't know much about it just that its a team sport with eleven players but I always hope the Saints win!  Apprentice: Eleven players on the field, yeah, but you can never count out the 12th man: the crowd! Have you ever been to a football game?","<pad> Apprentice: Yes, I have been to a football game. It's a great"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: There was a marathon of Harry Potter movies on TV a couple weeks ago and I watched all of them! Do you like Harry Potter?  Apprentice: Wait, I missed a Harry Potter marathon? Why didn't you tell me sooner?? I love those stories! Which one's your favorite?  Wizard: Yeah!! Lol my favorite is probably the second one because I tend to get lost after that one, it gets so complicated with Voldemort and Ron and Hermione that I still enjoy watching but tend to get confused about whats going on! Oh and Hagrid, I like him haha.   Apprentice: Chamber of Secrets is really good, and it sets a ton of groundwork for the end of the series without you even realizing it. Have you read the books?","<pad> Wizard: Yes, I have. I've read them all. I like the second one"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100. Conversation:  Apprentice: Are you a fan of Guns N' Roses?  Wizard: Not really a big fan. Are you? They are an American hard rock band originally from California.   Apprentice: I'm not really a fan either. When did they form?",<pad> 1987</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Since the release of the first novel, ""Harry Potter and the Philosopher's Stone"", on 26 June 1997, the books have found immense popularity, critical acclaim, and commercial success worldwide. Conversation:  Apprentice: Harry Potter is my favorite book series.  Wizard: the order of the phoenix was my favorite  Apprentice: Really? I think that one is really good as well. It really changes the atmosphere of the wizarding world.",<pad> Harry Potter and the Order of the Phoenix is the most popular book series in the world.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They are found on every continent except Antarctica, in every habitat on the planet that contains insect-pollinated flowering plants. Conversation:  Apprentice: I love bees but I am allergic to them.  Wizard: I love bees too, very crucial little beings. Without their production and storage of honey, we wouldn't have breathable oxygen for everyone.  Apprentice: Yes I know they play a very important role in our ecosystem.",<pad> Apprentice: I love bees but I am allergic to them. Wizard: Yes I know
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The album has sold approximately 30 million copies worldwide, including 18 million units in the United States, making it the best-selling debut album of all time in the US, as well as the eleventh best-selling album in the United States. Conversation:  Wizard: Hi there! MY favourite band is the original hard rockers - Guns n Roses. What about you?  Apprentice: They are pretty hard core for me, I do like some progressive metal though, namely Native Construct.  Wizard: Like Dream Theatre, Shadow Gallery, that sort of thing?  Apprentice: YES! Dream Theatre has like 15 albums, they're immensely talented.","<pad> Apprentice: I like progressive metal, namely Native Construct. Wizard: What about you?"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia. Conversation:  Wizard: I love The Walking Dead, I've seen every episode since it premiered on October 31, 2010.  Apprentice: Oooh! I've heard so much about that show, but I haven't seen it! Is it very popular?  Wizard: It is! Since it's 3rd season its attracted the most 18-49 year old viewers of any broadcast or cable series!  Apprentice: Oh wow! I know the show has zombies, but beyond that, what's the plot of the show?",<pad> Wizard: The Walking Dead is a great show. It's very popular. Since its
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot. Conversation:  Apprentice: I want to learn more about bowling. I am supposed to go this weekend with friends.  Wizard: well it is considered a sport or a leisure activity where a player rolls a ball towards a target  Apprentice: That sounds fun. Bowling does not sound too strenuous. ",<pad> Bowling is a sport or a leisure activity where a player rolls a ball
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: Green is my favorite color, its a good thing my eyes are also green.   Wizard: I love green as well. When everything outside is green, it is usually nice and warm out, and not freezing cold.  Apprentice: That's a very good point, I hate the cold weather cause its cold and colorless.","<pad> Apprentice: I love green as well. When everything outside is green, it is usually nice and"
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The kernel ruptures and forcefully expands, allowing the contents to expand, cool, and finally set in a popcorn puff 20 to 50 times the size of the original kernel. Conversation:  Apprentice: Ive never been a huge fan of popcorn! it always gets stuck in my teeth  Wizard: I love it!  I love watching it burst as the hot air as the hot air expands.  Apprentice: It smells up the house too much while its cooking too! I just dont like it at all1",<pad> Apprentice: I've never been a huge fan of popcorn. It always gets stuck in
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: More and more consulting firms are complementing the strategic deliverable by providing the means to implement the recommendations, either with the consultants themselves or by providing technicians / experts, which has opened up new markets for these companies. Conversation:  Apprentice: hi....I am the owner of a small marketing firm and I was curious about your thougths about marketing nowadays  Wizard: Hi! Our conversation is about Marketing  Apprentice: Yes it is..I am the owner of a small firm and am curious if you have positive or negative thoughts about it",<pad> Apprentice: Hi! Our conversation is about marketing nowadays.</s>
"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature. Conversation:  Wizard: Did you ever read Harry Potter by J.K. Rowling? I've only seen the films.  Apprentice: Me too. Tried the books, wasn't a fan.  Wizard: I know there is a lot of Harry Potter fandom where people write fan fiction and do role playing.  Apprentice: Yes, it is well suited to that.  I know you can find out what 'house' you'd be in at Hogwarts online.",<pad> Wizard: I've heard that there is a lot of Harry Potter fandom.</s>
