episode_idx,topic,round,message,response,knowledge,gold
560,Cheerleading,3,Thats awesome. Do you take part in cheerleading competitions?,No.,"Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.",Somtimes its is more of a intense physical activity now-a-days but sometimes we still do chants.
561,Cod,4,What do you mean?,"Bing Crosby was born on May 3, 1903 in Tacoma, Washington.","Cod is the common name for the genus ""Gadus"" of demersal fishes, belonging to the family Gadidae.","Know Nothings"" believed a ""Romanist"" conspiracy was afoot to subvert  politically organize native-born Protestants ."
562,Harry Potter,4,That is a lot! When did the books first come out? I remember I was still in elementary school I believe.,Criss Angel performed in the ABC Family television special named Criss Angel Mindfre,no_passages_used,Harry Potter and the sorcerers stone release June 26th 1997!
563,Bowling,4,"How many strikes in a row do you have to get to get a perfect game, and what score is that? I wouldn't know. I've only ever bowled 120!","Al-Awlaki has a high rank in the terrorist organization, like commander","The PBA Tour is the major professional tour for ten-pin bowling, operated by the Professional Bowlers Association.","Well, if you get 12 strikes in a row, you will achieve the maximum score of 300"
564,Gymnastics,4,How long have you done gymnastics?,"Phoebe received a letter of apology from her presumed-deceased husband,",nan,"for a long time now,  Each country has its own national governing body"
565,Winter,4,"I was just thinking that it is winter in some parts of the world, but I can't remember where!",Still Not Getting Any...,Christmas traditions vary from country to country.,In the northern hemisphere it will be winter and then in the southern hemisphere it's summer. 
566,Guns N' Roses,3,I saw that on YouTube! He does well replacing the guy in AC/DC. I like the album Appetite For Destruction best.,"Freddy Maertens described his relationship with his father as ""horribly hard","A hard rock/blues rock band, their music has also been called heavy metal, although they refer to themselves as ""a rock and roll band, nothing more, nothing less"".","I really like the old AC/DC stuff with Bon Scott. I haven't heard Axl's take on it yet though, I should probably give it a listen to see if it holds up."
567,Accounting,3,Only took two course for my business degree because it was required.,No,"The Financial Accounting Standards Board (FASB) is a private, non-profit organization standard setting body whose primary purpose is to establish and improve generally accepted accounting principles (GAAP) within the United States in the public's interest.", Financial reporting and accounting as synonymous as a field of study?
568,Green,3,"I used to use blue and yellow paint to make green, so that makes sense",No,"In the Middle Ages and Renaissance, green was the color commonly associated with merchants, bankers and the gentry, while red was reserved for the nobility.",Many creatures have adapted to green environments by turning green themselves.
569,Chihuahua (dog),3,They are pretty tiny. What is the largest bredd?,As early as 1940,"The Chihuahua's history is convoluted, and there are many theories surrounding the origin of the breed.","Irish Wolfhounds are up there, but they don't range as much in colors or coat length like chihuahuas do."
570,Skiing,3,"Hm, alright. Do you know anything about the history of skiing?",Terrell tried out for the 2007 WWE Diva Search. She made it to the final,"The bottom of the short ski was either plain or covered with animal skin to aid this use, while the long ski supporting the weight of the skier was treated with animal fat in a similar manner to modern ski waxing.",Many types of competitive skiing events are recognized by the International Olympic Committee 
571,American football,3,What are some of your favorite teams?,No,"After clinching the SEC East, the Gators defeated then top-ranked Alabama Crimson Tide 31–20 in the SEC Championship Game to win their eighth conference title.",I favor the Florida Gators
572,Drama school,4,Do you know why it closed?,No,no_passages_used,I'm not sure but it was founded by Tim and Judith Reynolds in 1985 as the Evening Academy of Dramatic Art
573,Popcorn,3,yup. that sounds good and the popping sound will be amazing to hear,Rosa Ponselle sang only at Covent Garden in London (for three seasons) and in,"The dish consists of tortilla chips (or ""totopos"") covered with cheese or cheese-based sauce, and is often served as a snack.",I agree with you.  Experts have found that the popping of the kernels happened by people as far back as the early 19th Century! So it not just a modern day food.
574,John Grisham,3,Im not really sure. It does sound interesting though. Does he still write?,No.,"Eight of his other novels have also been adapted into films: ""The Chamber"", ""The Client"", ""A Painted House"", ""The Pelican Brief"", ""The Rainmaker"", ""The Runaway Jury"", ""Skipping Christmas"", and ""A Time to Kill"".","He does, and as of 2012 all of his books had sold over 275 million copies across the globe"
575,Hunting,4,Really? have eaten deer meat  and how does deer meat taste?,Hearst's Question: Was he successful in Congress?,"LOL, or lol, is an acronym for laugh(ing) out loud or lots of laughs, and a popular element of Internet slang.","Yeah deer meat is a little tougher than beer, although that may have been my mistake for overcooking it."
576,Ireland,4,I didn't know that.  What's the ideal time for a visit?,The ideal time for a visit is during the summer.,Thick woodlands covered the island until the Middle Ages.,"months of March to May and September to November, as the weather isn't as cold as during the winter months"
577,American football,4,I'm way into football too and these are cool facts I never knew. Is there many football teams?,No,"American football evolved in the United States, originating from the sports of association football and rugby football.","There are so many. Especially considering all the high school, college, and professional teams."
578,The Walking Dead (TV series),3,"Well, after a few seasons, it really just felt tooooo dark and inescapable. I guess zombies will do that to you...! What's your favorite game?",Juan Carlos's younger brother Alfonso was killed,"A version for iOS was released in February 2010, and an HD version for the iPad.",I enjoy strategy games the most.  One of my favorites is Plants Vs. Zombies.  Have you played that one?  It's about homeowners that use plants to try and stop zombies from invading.
579,Elvis Presley,4,"Yes, it is so sad, and speaking of heart it is said that he died from a heart attack.","The umpires measured the amount of pine tar, a legal substance used by","With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.",Well he was into a lot of drugs I mean he had been singing since 1954 recording for Sun Records so I'm sure he was partying for at least 2 decades
580,Gymnastics,3,"Hehe you can try it, and then maybe you become flexible :D be sure to use a lot of chalk before you try, it really helps your grip",No.,"It typically involves the women's events of vault, uneven bars, balance beam and floor exercise.","Have you ever been involved in competitive artistic gymnastics which is the best known of events? And by the way, I would need MORE than chalk! lol"
581,American football,4,Probably because the field used to have gridirons painted on. Now they just have the horizontal yard markings.,It was a Christian rap music group.,Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal.,Points are scored by getting the ball into the other teams end zone and scoring a touchdown
582,Cardigan (sweater),4,They are extremely comfortable.,"After the Doobie Brothers' first farewell tour, McDonald released his first solo studio","The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",The more modern versions now have no buttons and just kinda hang open - my daughters like those kind.
583,Paramedic,3,"Aw, thank you. What do you do?",No,"The scope of the role varies widely across the world, having originally developed as a paraprofession in the United States during the 1970s.",I'm an armed guard! It's funny that in some countries paramedic is accountable to a professional regulatory body
584,Medical billing,3,i wish it wasnt so expensive. if it wasnt for medical bills i would probably have alot better credit,"Besides testifying, did Roger's have any other role in the VCR's","However, with the advent of medical practice management software, also known as health information systems, it has become possible to efficiently manage large amounts of claims.",Do you receive your bills on paper still?
585,Harry Potter,3,I guess I would be more of a Ravenclaw ,After he was shot and buried in a shallow grave.,"Death Eaters are fictional characters in the ""Harry Potter"" series of novels and films.","Ravenclaws are pretty cool. In general I wish I did go to Hogwarts, it's such a cool school!"
586,Ireland,4,It sounds beautiful! Are there any old buildings or landmarks you plan to visit?,The Ordettes,Just under 4.8 million live in the Republic of Ireland and just over 1.8 million live in Northern Ireland.,The Blarney Stone! And some of the wildlife. There are 26 species of mammal native to Ireland
587,Cheerleading,3,Cheerleaders have to be pretty good athletes themselves. Many of them do all kinds of stunts!,Robinson was successful despite the obstacle of racism. A favorite Robinson anecdot,"It can be performed to motivate sports teams, entertain the audience, or for competition.",Yes the activities can be chanting of  slogans to intense physical activity.
588,Cheerleading,3,"yes, it could be. By chanting, do you mean saying things in unison? ",The Goo Goo Dolls marked their 20th anniversary with their new album Let Love,"Competitive routines typically range anywhere from one to three minutes, and contain components of tumbling, dance, jumps, cheers, and stunting.",Cheerleaders cheer for their team to root for them.
589,Cheerleading,3,"It's pretty risky. A cheerleader from Southern Illinois University fractured her back and hit her head from falling from a pyramid stunt. She's fully recovered now though,thank goodness.",No,Cheerleading began during the late 18th century with the rebellion of male students.,"Oh that is very serious. Good she is okay. Routines don't last long, but they incorporate dance, tumbling and such."
590,John Grisham,4,Politican? Where is he a politican?,London Daily Mirror newspaper,He practiced criminal law for about a decade and served in the House of Representatives in Mississippi from January 1984 to September 1990.,84-90 he served Mississippi House of Representatives
591,Skiing,4,"Is it only done on snow,I mean ice?",The Mayan,"Cross-country skiing is a form of skiing where skiers rely on their own locomotion to move across snow-covered terrain, rather than using ski lifts or other forms of assistance.",not sure but skiing has evolved from beginnings in scandinavia and even long ago in china
592,Winter,4,"I kinda thought it was the same for everyone, but then I've also lived in Texas my whole life, so what do I know right? LOL",No,"The English word ""winter"" comes from the Proto-Indo-European root ""wend,"" relating to water.",winter is associated with snow and freezing rain here I'm guessing it's not the same in Texas?
593,American football,4,"oh wow that sounds complex, where do they play these foot ball at ?","Greg LeMond was born in Lakewood, California, and raised in the Washoe","American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",Usually its a rectangular field some teams have stadiums
594,Dog training,4,"I've never heard of the Koehler method - I've heard of clicker training, though, and positive reinforcement. What can you tell me about the Koehler method?",No,"He received the Navy Cross for his service during World War I.  Hugo William Koehler was born on July 19, 1886 in St. Louis, Missouri.",Hugo Koehler developed it.  He was a US Navy Commander who served as military attache to Russia
595,Genghis Khan,3,Didn't that empire stretch over most of the continent and then some?,"Diplo was born on November 10, 1978, in Tupelo, Mississippi, the son of","His descendants extended the Mongol Empire across most of Eurasia by conquering or creating vassal states in all of modern-day China, Korea, the Caucasus, Central Asia, and substantial portions of Eastern Europe and Southwest Asia.","Yes, by the end of Khan's life, the Mongol Empire stretched across Central Asia and China."
596,American football,3,Cool I am a Ravens fan. I'm sure you're disappointed about your Super Bowl loss this year.,The Patriots lost this year's Super Bowl.,"Thomas Edward Patrick Brady Jr. (born August 3, 1977) is an American football quarterback for the New England Patriots of the National Football League (NFL).","I am very disappointed but our offense did really well advancing down the field, our running and passing game wasn't too bad."
597,American football,4,Do you know how many teams are in the NFL?,"The Institute for Social Research, which had relocated to New York, published Theses in Benjamin","The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.",32 total. I'm a bigger college football fan. It's hard to believe it evolved from rugby football.
598,Auto racing,4,"That's cool, have you ever seen a live race before?","The phrase ""God Save the King"" is much older than the song, appearing, for","Auto racing (also known as car racing, motor racing, or automobile racing) is a motorsport involving the racing of automobiles for competition.",No but auto racing is definitely intiguing to me with the competitions and fast cars and such
599,Green,3,That makes sense! I remember mixing blue and yellow paint in school to make green.  My favorite shade is like an emerald green.,The Royal Philharmonic Orchestra was founded in 1932 by Sir Thomas Beecham.,It is evoked by light which has a dominant wavelength of roughly 495570 nm.,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize "
600,Cardigan (sweater),3,Me too. My fav is the waterfall style but it's going out of fashion now I think,No,no_passages_used,"But the pullover does not open in front but must be ""pulled over"" the head to be worn."
601,Skiing,4,Snowboarding completely eliminates the needs for those poles too. Interesting that they used to only use one pole. Maybe they were the first snowboarders!,Laurel and Hardy signed a contract at 20th Century Fox to make ten,no_passages_used,"The developers of snowboarding got inspiration from skateboarding, sledding, surfing and skiing. I also used to skateboard and surf when I was younger, but I would look a little silly skateboarding now. Have you ever gone surfing?"
602,Nickelback,3,"Yes, they are better then The Beatles. Rock Gods, Chad the lead singer is my Jesus.",The study of Molaison revolutionized the understanding of the organization of human memory.,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",They went through a few drummers from 1995 to 2005. I like who they have now
603,Harry Potter,4,Is Harry Potter and the Sorcerer's Stone the first book of the series?,"No, it is the second.",Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,"Yes it is, then it was the harry potter and the chamber of secrets."
604,Waterfowl hunting,3,"Sort of yes, it is duckhunting and you sometimes have a dog with you to retrieve them","Janis Joplin died on October 4, 1970, at the age of 57.","In many western countries, commercial waterfowl hunting is prohibited, and duck hunting is primarily an outdoor sporting activity.",Are shotguns usually the go to gun for this?
605,Drama school,4,So the kids have to compete just to get into the schools themselves? Do they have official competitions of some kind?,Black Hawk supported the invalidity of the Treaty of St. Louis (1804) of both,Some schools make this a two-stage process.,"Usually students begin to think about their entry plan starting in the 11th grade, so it can get pretty competitive."
606,Instagram,3,"I guess that is true, I just don't like those ads!!","After Ara Parseghian was hired, Devine accepted immediately.","It was created by Kevin Systrom and Mike Krieger, and launched in October 2010 as a free mobile app exclusively for the iOS operating system.","I guess the owner facebook, need the ad revenue to keep it going so i guess its ok"
607,Cheerleading,3,"Yes, they have lots of spirit too.",Some journalists and journalism professors specializing in health care have criticized Gupta,It can range from chanting slogans to intense physical activity.,Slogans are often chanted during the games
608,Skiing,4,"Yes it is. It looks hard to do. Even if you could get your balance, to actually navigate the snow would be hard.",The group began recording their follow-up in 2002 with producer Nigel Godrich (best known,"Although modern skiing has evolved from beginnings in Scandinavia, it may have been practiced more than 100 centuries ago in what is now China, according to an interpretation of ancient paintings.",I love watching all the talented sking events at the olympic games
609,Elvis Presley,3,"That's long ago, how long did his career last?",Houdini performed at least three variations on a buried alive stunt during his career,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Well he died in 1977, at the age of 42.  That ended is career as a singer and actor"
610,Ireland,4,Throw in this Brexit business which only makes things worse.,"Janis Lyn Joplin was born in Port Arthur, Texas, on January 19, 1943,","The civil war was waged between two opposing groups, Irish republicans and Irish nationalists, over the Anglo-Irish Treaty.","The Irish exited in 1921, I did not know they were know as the Irish Free State then."
611,Elvis Presley,3,"Yes, I love that song! I really like his version of ""My Way""",The Turtles quit,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.",Elvis started his music career in 1954 recording at Sun Records with producer Sam Phillips.
612,Auto racing,4,I bet that was exciting!  Did you cheer for anyone in particular?,Lillie Langtry was linked in the popular press to Prince Louis Esterhazy;,"A V8 engine is an eight-cylinder V configuration engine with the cylinders mounted on the crankcase in two sets (or banks) of four, with all eight pistons driving a common crankshaft.","No, I was too young to know the drivers when we went, and when I got older my mom wanted us to do something else, since the race is held over Memorial Day weekend."
613,Bowling,3,That's true. I heard that at most places you have to actually pay to rent shoes. ,He does not do anything with his finger.,"A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot.","Yes, I think I have always pay for that. Even when the maximum score is 300, I think mine is like half that."
614,Online shopping,3,isn't it amazing? and then it gets delivered right to your door,Jayan was killed in an accident on the set of the movie Kolilakkam (,"A typical online store enables the customer to browse the firm's range of products and services, view photos or images of the products, along with information about the product specifications, features and prices.",I love the search option that stores have so I can find what I need rather quickly.
615,Bowling,4,What is the target?,"The maximum score is 300, which is achieved by getting 12 strikes in a row.","The maximum score is 300, which is achieved by getting 12 strikes in a row.",target is usually to knock over pins at the end of a lane
616,American football,4,yes and our players seem to be a lot bigger than rugby players,The show was founded in 2005.,Michigan was independent of any conference until 1896 when it became one of the founding members of the Western Conference (now known as the Big Ten Conference).,"That's the truth, the first football game was played in November of 1869. "
617,Elvis Presley,4,"wow, my husband is from Mississippi! I bet they have Elvis museum somewhere in MS",No,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","I'm sure there is, there is definetely one in Memphis. Elvis began his music career in 1954."
618,American football,3,I'm sure it's a complete different game then it is today. The year the Detroit Lions will win the super bowl.,"Seabiscuit was injured during a race. Woolf, who was riding him, said","The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.",The first match was between Rutgers and Princeton.
619,Hunting,4,oh yea well it wouldnt be hunting if you didnt,No,"Lawful hunting is distinguished from poaching, which is the illegal killing, trapping or capture of the hunted species.",Hunting wild life is commoly done by humans
620,Goldendoodle,3,Which breeds are crossed? Is one a poodle?,"Hunter had a 1957 hit record with the song ""Young Love,"" which was No.",The Goldendoodle was first bred by Monica Dickens in 1969.,"the name  alters ""poodle"" to ""doodle"" by analogy to ""Labradoodle"", was coined in 1992"
621,Green,3,"In early modern Europe, green was the color commonly associated with wealth, merchants, bankers and the gentry",He struggled in this game he went on to become a regular Reserve team player by,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.",The color has a dominant wavelength of roughly 495570 nm if i rememebr
622,Bowling,3,I do I play all the time! I go to a ally by my house.,No,Duckpin bowling is a variation of 10-pin bowling.,What do you think about ten-pin bowling?
623,Accounting,4,No organization can do without an accountant. ,"Hed PE released their second studio album, Broke on August 22, 2000. It peaked","Financial accounting focuses on the reporting of an organization's financial information, including the preparation of financial statements, to external users of the information, such as investors, regulators and suppliers; and management accounting focuses on the measurement, analysis and reporting of information for internal use by management.","For sure. Organizations can divide accounting into several fields according to what they need, such as financial or management accounting, external auditing, etc."
624,Bowling,3,How far back does the history of bowling go?,"Laurence Olivier saw Leigh in The Mask of Virtue, and a friendship developed",nan,"A long way back, in various forms. It was popular in the 1600s in Britain"
625,Elvis Presley,3,"Yes I do!  His mansion, Graceland is amazing to tour too. ",Ranbir Kapoor was born on 28 September 1982 in Mumbai to Rishi Kapoor,"Craps is a dice game in which the players make wagers on the outcome of the roll, or a series of rolls, of a pair of dice.","I wish I could of been there for that, I bet it's amazing! It's no wonder that he is the King of Rock. With all his hit songs"
626,Consulting firm,4,I need help with my own future planning. I may need a consultant at some point.,Funeral for a Friend,Consulting services are part of the tertiary sector and account for several hundred billion dollars in annual revenues.,"Sure!  We all need it. Also, The deliverable of a consultant is usually an advise or a recipe to follow to achieve a company objective, "
627,Guns N' Roses,4,"That has to be my fave as well, How many albums did they release anyways? ","The Mystic Knights of the Oingo Boingo, formed in late 1972","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",They have released 6 albums which have grossed over 100 million dollars in sales worldwide.
628,Instagram,3,I actually don't use it but my niece and mom use it all the time.  do you like to use it?,A.J. is later disinherited by his family and forced to move out of the man,The massive influx of personal information that has become available online and stored in the cloud has put user privacy at the forefront of discussion of the databases ability to safely store such personal information.,I do enjoy it. Instagram allows people to upload pictures and videos and get views and likes. Some people are even famous because of it.
629,Kurt Cobain,4,Tell me more about Kurt Cobain,"Following the success of ""Nevermind"", Nirvana was labeled ""the","Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"".","Well, he was born in Washington state. He formed Nirvana in 1987 with two other members, and basically established the grunge music scene in Seattle."
630,Bowling,4,do you know when this game was originated? or who created bowling?,"Stockhausen, along with John Cage, is one of the few avant-garde composer","Three consecutive strikes is a known as a ""turkey"".",I have no ide! i will have to check the history of bowling!
631,Hot dog,4,You do mayonnaise I will pass but I over to put mustard and ketchup. Do you eat yours with fried or chips?,fried,"A hot dog (also spelled hotdog), also known as a frankfurter (sometimes shortened to frank), dog, or wiener, is a cooked sausage, traditionally grilled or steamed and served in a partially sliced bun.","yes i like eating it with a potato chip or a crisp, it gives some crunch to it :D Have you tried smoked frankfurters?"
632,Cheerleading,3,"yeah they are, they go to competitions all the time. Could you tell me more about cheerleading?",Khalid Sheik Mohammed traveled to the Philippines in 1994 to work with his nephew Ramzi,"Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.","Yeah, the competitive routines tend to range from one to three minutes and will include various activities like dance and tumbling.  Does your sister have a specialty on the team?"
633,Guns N' Roses,3,"It is amazing. They formed in 1985 in Las Angeles, Ca. ",No.,"Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100.","Yeah! It was cool to hear that their twin albums ""Use Your Illusion I"" and ""Use Your Illusion II"" (1991) debuted at number two and number one on the ""Billboard"" 200 respectively and have sold a combined 35 million copies worldwide, including 14 million units in the United States."
634,Motivation,4,correct . It also gets us to accomplish task and set out goals for what we want to accomplish in life,No,"Activated ""seeking"" behavior, such as locomotor activity, is influenced by dopaminergic drugs, and microdialysis experiments reveal that dopamine is released during the anticipation of a reward.",It either gets us to act in a positive or negative way.  
635,Popcorn,4,"That's interesting, I assumed all kernels could be popped and wasn't aware that there were different strains. How many other strains are there?",They often used Preludin to maintain their energy while performing for long periods.,"Corn was first domesticated 9,000 years ago in what is now Mexico.","There are a few - dent corn, flour corn, popcorn, pod corn, and flint corn."
636,American football,3,American football,No,Television brought professional football into prominence in the modern era after World War II.,"I'm more into movies, I really liked the Penguins in the animated ""Madagascar"" movie."
637,Winter,4,Funny enough people in the tropical regions always wish for it as much as those in temperate wait for summer,"The cast album of the 1945 Broadway production was issued on 78s, and the score was","There is a large amount of variability in climate across the Arctic, but all regions experience extremes of solar radiation in both summer and winter.","I agree, In the Arctic for instance, they have short summers so I know they always want more. My AC is out so I know I will enjoy winter."
638,Green,4,"Yeah that makes a lot of sense, when I was younger my favorite color was different.","Eventually, the band appeared for the first time on stage together in nearly five years as present","The color pink is named after the flowers, pinks, flowering plants in the genus ""Dianthus,"" and derives from the frilled edge of the flowers.","Pink got the name from the flowers pinks. I'm not a big fan of flowers maybe thats why I am not a big fan of the colour itself. They are plants in the genus ""Dianthus"""
639,Green,3,Really I did not know that you must know about your colors do you like green kale shakes?,No,"Green beans are known by many common names, including French beans, string beans, snap beans, and snaps.",I am not a huge fan of kale which is basically leaf cabbage.
640,"On-again, off-again relationship",3,I'm not sure. What do you think is usually the case in relationships like this?,The inabity to keep the relationship going is due to factors insided the relationship or,Interpersonal communication is an exchange of information between two or more people.,"Could be ither, really because reasons why relationships like yours for can be complex."
641,Archery,3,Interesting.  When was archery first used?,"The name actually comes from the Latin word ""arcus.""",The bow and arrow seems to have been invented in the later Paleolithic or early Mesolithic periods.,Hunting with a bow and arrows was one of the first hunting methods to develop after the spear. 
642,Winter,4,"In my area, they say ""If you don't like the weather, just wait ten minutes.""  So adaptation to vagarities is the norm.",No.,"The climate of the Arctic is characterized by long, cold winters and short, cool summers.","More so,many regions, winter is associated with snow and freezing temperatures."
643,Bowling,3,Well I did it for so long I guess my passion kind of fizzled out. You need to be really dedicated to go pro in anything. Are you big into sports yourself?,No.,"The term ""hambone"" has also been used to describe four consecutive strikes.",No I'm not good at anything. I like bowling video games. I have never gotten a 300 which is 12 strikes in a row!
644,Instagram,3,That's what I don't get.  I can share pictures on Facebook with a narrative.  Instagram doesn't have much writing.  Is that what people want now?,Afonso arrived at Cannanore on the Malabar coast in,Instagram lets registered users upload photos or videos to the service.,"Facebook actually owns Instagram, so I don't know why it wouldn't be a bit more similar in that area."
645,Bowling,4,Yeah i guass it can be fun,No.,I Like Music has grown 100% organically and retains full independence despite its hundreds of thousands of monthly visitors.,do you like music? video games have great music
646,Hunting,4,"I do not have a pest issue in my area, I did not know pest control and hunting could be the same","He was the house pianist at Minton's Playhouse, a Manhattan","Advocates oppose the assignment of moral value and fundamental protections on the basis of species membership alone—an idea known since 1970 as speciesism, when the term was coined by Richard D. Ryder—arguing that it is a prejudice as irrational as any other.","Yes, some animals can become a burden for those practicing agriculture. So, the laws can change to allow hunters to control the animal population, whether by chemical or cultural needs."
647,Cheerleading,4,"That would make sense, as that was a big movie.",Yes.,Cheerleading began during the late 18th century with the rebellion of male students.,"Yeah, it really helped to explode it into the limelight. There's over 1.5 million people completing in all-star cheerleading!"
648,Hunting,3,I would be so mad if they killed my chickens!!!  Do you set up traps?,Alvin,"Augustine Chacon (1861 – November 21, 1902), or El Peludo (English: ""The Hairy One""), was a Mexican outlaw and folk hero of Arizona Territory.","Yes, I try to only set live traps I dont want anything to suffer "
649,Hot dog,4,Not normally. I usually have to go down to the docks or the fish market. They'll grill it up around there.,The Midsummer crisis,"With more than 10 million visitors annually, Pike Place Market is Seattle's most popular tourist destination and is the 33rd most visited tourist attraction in the world.",I love fish markets! So busy and vibrant. I've always wanted to go to Pike Place Fish Market in Seattle - have you ever been?
650,Green,3,"My girlfriend always teases me about green being my favorite color.. Do me a favor, tell me the best fact you know about green, or the coolest instance of green in nature, etc. Just something to show her it's a good color to choose as your favorite.",It also has a long historical tradition as the color of Ireland and of Gaelic culture,It also has a long historical tradition as the color of Ireland and of Gaelic culture.,"You should know that in the Middle Ages and Renaissance, green was associated with merchants and bankers! I bet your girlfriend might be impressed by that!"
651,Cardigan (sweater),4,ok buddy good. it is good for cool weather,Lisa Marie Presley was indoctrinated into the Church of Scientology in 1977,"The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.","Yeah! It's for the fresh kind of weather, where you can't be without a sweater because it's too cold nor can you be with a jacket because then it gets too hot. You know?"
652,The Walking Dead (TV series),4,Carl was one of my favorites. Is the show finished or still running?,"No, it is no longer running.","Together they struggle to survive and adapt in a post-apocalyptic world filled with walkers and opposing groups of survivors, who are often more dangerous than the walkers themselves."," Yes, they are making more episodes. andrew lincoln plays the shows sheriff"
653,Cycling,3,"Well, I'm just a casual rider. What type of rider are you?",David Davis was Shadow Secretary of State for the Home Department.,The California Trail was an emigrant trail of about across the western half of the North American continent from Missouri River towns to what is now the state of California.,I am a mountain biker. I enjoy riding over rough terrain and up and down mountains.  have you heard of this sport?
654,Hot dog,4,This type of sausage was culturally imported from Germany and popularized in the United States,"Piquet was born in Rio de Janeiro, then the capital of Brazil, the son","Typical garnishes include mustard, ketchup, onions, mayonnaise, relish, coleslaw, cheese, chili, olives, and sauerkraut.","Yea, they are also classified as sausage sandwiches"
655,The Walking Dead (TV series),4,What other actors are in the show?,"The Jane Goodall Institute (JGI) supports the Gombe research, and she is","Together they struggle to survive and adapt in a post-apocalyptic world filled with walkers and opposing groups of survivors, who are often more dangerous than the walkers themselves.","not sure, but I know it takes place in atlanta gorgia and later virginia"
656,Discovery Channel,4,"I've seen that before, it sounds cool. I respect the dangerous work they do.","Botha was elected head of the National Party Youth in 1946, and two years later won ","Rowe has narrated programs on the Discovery Channel, The Science Channel and National Geographic Channel such as ""Deadliest Catch"", ""How the Universe Works"", and ""Shark Week"".",Cannot believe that Deadliest Catch started in 2005 and it is still on and airs in over 200 countries.
657,American football,4,I wonder who even thought up this game. There seems like there are a lot of confusing rules.,"Allen rejected a two-year, $12 million offer to return to the Boston Celtics and","American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",Walter Camp created a hybrid of rugby that became American football.
658,American football,3,My husband loves the Giants.  My best friend is a Jet fanatic lol I am like OMG when is the season over ,"Kulwicki died in an airplane crash on Thursday April 1, 1993. He was re","In Canada, the term ""football"" may refer to Canadian football and American football collectively, or to either sport specifically, depending on context.","thats funny! i just don't like the fact that you have to advance the ball 10 yards in four downs, or they turn over the ball, its so confusing"
659,Green,3,But blue and yellow aren't even complementary!,Frederick II was a highly significant European monarch of the Middle Ages. This repu,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.","Haha, I like blue and yellow because they're the colors of the Swedish flag!"
660,Green,4,"I like it because its the color of nature, would you paint your living room green?",No,Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that can later be released to fuel the organisms' activities (energy transformation).,Yes! Because its the largest contributor to green in nature is chlorophyll
661,John Grisham,3,Do you know where he lives?,John Grisham lives in Mississippi.,John Grisham graduated from Mississippi State University before attending the University of Mississippi School of Law in 1981.,"He lives outside Oxford, Mississippi. His books have been translated into 42 languages."
662,American football,4,Yes i do but not with full concentration so i still do not know much about it. What are the rules of the game,Lennox's debut album Panda Bear was released in 1999 on Soccer,The history of American football can be traced to early versions of rugby football and association football.,"Oh I have no clue, but within the US the college version of footballs garners high tv ratings"
663,American football,4,Wow!  I did not know it was that old.  Do you know who the teams were?,Holy Fire,"American football evolved in the United States, originating from the sports of association football and rugby football.",The teams were Rutgers and Princeton. Two college teams.
