,episode_idx,topic,round,message,response,knowledge,gold,Q2
507,507,Motivation,3,"I really lack motivation, but I've heard it's more important to have discipline.","Wizard: Motivation is what prompts the person to act in a certain way, or at","A motive is what prompts the person to act in a certain way, or at least develop an inclination for specific behavior.","Yes, motivation helps direct one's behavior and actions",0.5
508,508,Green,3,Its very vibrant and has many different shades,Wizard: Green is my favorite color. It is the color between blue and yellow.,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.",It's used a lot in paintings and is one of the additive primary colors,0.0
510,510,Green,4,That is really cool! Dogs do not see colors. Do you have a dog?,"Apprentice: Yes, I do.","The Labrador is one of the most popular breeds of dog in Canada, the United Kingdom and the United States.","Yeah, I've heard domestic dogs can only see in black and white. I don't have a dog however.",0.0
511,511,Bowling,3,"Same, it was fun while in highschool.","Wizard: I used to be really into bowling, which is an activity where you roll or","In pin bowling variations, the target is usually to knock over pins at the end of a lane.","I had a lot of fun with it back then too. It is one of the major types of throwing sports today, which really didn't surprise me.",0.0
514,514,Cycling,4,"Yeah it's a fun way to explore. Biking is the most fun type of exercise in my opinion, I like going fast so I don't even notice how hard I'm working lol","Wizard: I'm a cyclist, too. I love taking my bicycle out for ","Unlike a transit bus service, which has frequent stops throughout a city or town, an intercity bus service generally has a single stop at one location in or near a city, and travels long distances without stopping at all.",Same here.  I have used our local bus services where I live to try out new places since our buses have racks on the front.,0.0
518,518,Bowling,3,"That's cool to hear it classified like that. I have once bowled 300 in a game before, we call it a turkey.",Apprentice: I've heard that bowling is one of the major forms of throwing sports.,"In target variations, the aim is usually to get the ball as close to a mark as possible.",Yeah that's three consecutive strikes. A hambone is four consecutive strikes.,0.0
519,519,Ireland,3,That is good to know.    What about the population?,Just under 4.8 million live in the Republic of Ireland and just over 1.8 million live in,Just under 4.8 million live in the Republic of Ireland and just over 1.8 million live in Northern Ireland.,It was about 6.6 million in 2011. It was ranked the second most populous island in Europe.,1.0
520,520,Green,4,"Oh I see, what other colors can affect the human behavior?","Wizard: Blue is my favorite color, because its relaxing and reminds me of the cold!","Stimulants (also often referred to as psychostimulants or colloquially as uppers) is an overarching term that covers many drugs including those that increase activity of the body, drugs that are pleasurable and invigorating, or drugs that have sympathomimetic effects.",One example is that red and orange are tied to stimulants. ,0.0
521,521,John Grisham,3,I have always heard that. Does he still write new book? Is he still alive?,"John Grisham is an American bestselling writer, attorney, politician, and activist.","The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel.""","Yes hes 63 today, And as of 2012, his books have sold an astounding 275 million copies worldwide.",0.0
522,522,Broken heart,3,Yeah we where together for 4 years,Apprentice: I've been through a breakup.,"The ""social-attachment system"" uses the ""pain system"" to encourage humans to maintain their close social relationships by causing pain when those relationships are lost.",Im sorry to hear that.  Emotion pain if severe enough can cause actual physical damage to the heart,0.0
525,525,Guns N' Roses,4,i will check them out :) what genre is their music?,"Guns N' Roses' debut album, Appetite for Destruction was released in","Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100.","They're considered to be an American hard rock band based out of Los Angeles, California. Besides their rock stuff, they put out a bunch of great ballads!",1.0
526,526,Green,4,"I want to say most plants are green because of that stuff in them, chlorophyll I think? ","Wizard: Yes, I think so. It's the color between blue and yellow on the","Conversely, it is a poor absorber of green and near-green portions of the spectrum, which it reflects, producing the green color of chlorophyll-containing tissues.",Right!  It allows plants to absorb energy from light - and is essential in photosynthesis,0.0
527,527,Bowling,3,"Oh I was talking about the bowling that goes on in bowling lanes, but what are the other forms of bowling?","Apprentice: I love bowling, but what is the games history, I wonder? Wizard:","In target variations, the aim is usually to get the ball as close to a mark as possible.","There is pin bowling which you're probably familiar with. There is also target bowling, where the rolling surface could be grass or gravel!",0.0
528,528,Stock market,4,Who uses the stock exchange?,"Wizard: ok, equity market or share market is the aggregation of buyers","Stock exchanges list shares of common equity as well as other security types, e.g.","buy and sell shares of stock, bonds",0.0
529,529,Archery,3,"Back in the midwest, a lot of people still use it to hunt. A lot of states allow people to archery hunt earlier in the season before rifle season opens. ",The oldest bows known so far come from the Holmeg<unk>rd swamp in Denmark,The oldest bows known so far come from the Holmegård swamp in Denmark.,"Very cool. Archery can be traced back as early as 10,000 BC in the late Paleolithic where they were used to hunt.",1.0
530,530,John Grisham,3,Does he have any best sellers?,John Grisham wrote a book about criminal law.,"The book was adapted into a 1993 feature film of the same name, starring Tom Cruise, and a 2012 TV series which ""continues the story of attorney Mitchell McDeere and his family 10 years after the events of the film and novel.""","Yes he does. His first novel, ""A Time to Kill,"" was published in June 1989, and went on sell 2 million copies!",0.0
531,531,Archery,3,Are there different kinds of bows?,"Apprentice: Yes, there are different kinds of bows.","In modern times, it is mainly a competitive sport and recreational activity.","There is the composite bow, a traditional bow of horn, wood and sinew.",0.0
532,532,Green,3,Oh yes. Why do you like it. I love it because it is the color of nature,Apprentice: I love green because it is the color of nature.,Chromium is a chemical element with symbol Cr and atomic number 24.,I like it because it reminds me of the emerald and other minerals that are of green color. The green in them is because they have chromium.,0.0
533,533,Green,4,Emeralds are pretty. What other minerals are green?,Wizard: There are several minerals that are green in color such as emeralds,"For this reason, the costume of the ""Mona Lisa"" by Leonardo da Vinci and the benches in the British House of Commons are green while those in the House of Lords are red.","Oh so many, but I forget, Emeralds are the most common ones though. I bet you know that green has a long historical tradition as the color of Ireland!",0.0
534,534,Green,3,Yes! Green is also one of the main colors in the RGB color model I believe. It is also a great shirt color.,Apprentice: I love green. It is also one of the main colors in the RGB color model,"In subtractive color systems, used in painting and color printing, it is created by a combination of yellow and blue, or yellow and cyan; in the RGB color model, used on television and computer screens, it is one of the additive primary colors, along with red and blue, which are mixed in different combinations to create all other colors.",I have heard Green has a dominant wavelength of roughly 495570 nm,1.0
535,535,Elvis Presley,3,Can you tell me more about him? Like where he lived?,"Elvis Presley lived in Memphis, Tennessee.","It is located at 3764 Elvis Presley Boulevard in the vast Whitehaven community, about 9 miles (14.5 km) from Downtown and less than four miles (6 km) north of the Mississippi border.","Yeah! He was born in Tupelo, Mississippi and moved to Memphis when he was 13 years old.",0.0
536,536,Paramedic,3,They have to stay calm and professional in all situations. Do you think that you have those traits?,"Apprentice: Yes, I think I have them.","The Big Five personality traits, also known as the five factor model (FFM), is a model based on common language descriptors of personality.",Yes and know. But it is a part of the Big Five personality traits model.,0.0
538,538,Cardigan (sweater),3,"That's cool, do you know when they were first made?",Apprentice: I wear cardigans because I look classy and cultured. Wizard: It,A cardigan is a type of knitted garment (sweater) that has an open front.,"I'm unsure of its earliest origins, but the earliest popularized date of the shirt I'm aware of is from the 1930s.  I'm sure it's been around for longer.",0.0
540,540,Popcorn,4,"I see, I wonder who first discovered it",Wizard: I think it was the Aztecs.,"In Mexico, for example, remnants of popcorn have been found that date to around 3600 BC.","well if we go all the way back, corn was first domesticated 9000 years ago in what is now known as mexico",0.0
543,543,Thierry Henry,4,"Yeah, I remember seeing him often wearing a blue jersey if recall correctly. Is he a striker?",Thierry Henry is a striker.,Thierry Daniel Henry (; born 17 August 1977) is a retired French professional footballer who played as a forward and is the second assistant manager of the Belgium national team.,"Yeah he was a stricker, he is now retired though, he also played for Barcelona with Ronaldihno and Messi. ",0.0
546,546,Kurt Cobain,4,oh yea? i didnt know that,"Kurt Kobain was born in Aberdeen, Washington.","Nirvana's debut album ""Bleach"" was released on the independent record label Sub Pop in 1989.",Yeah Cobain formed the band Nirvana with Krist Novoselic and Aaron Burckhard in 1987,0.0
547,547,Online shopping,3,"i'm currently living in a fairly rural location for work and it's just so much easier to use Amazon Prime for shopping, my only other alternative is driving 30 minutes to walmart","Apprentice: I love using Amazon, have you tried it? Wizard: Yes. I use it","As of 2016, customers can shop online using a range of different computers and devices, including desktop computers, laptops, tablet computers and smartphones.","It is so much easier, especially when you live in rural locations.  I also like how you can use online shopping to compare among alternative vendors for the same product with different retailers.  ",0.0
548,548,Green,3,"Yes it is. It is also the color of Emeralds, and sometimes the color of camouflage.","Apprentice: I love green. It is the color of money, green lights when I am driving",Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage.,I have read it has a dominant wavelength of roughly 495570 nm.,0.0
549,549,Accounting,3,"If it is very serious, but it is an exciting job that allows to do all financial processes in an orderly manner.",Apprentice: I like accounting.,Practitioners of accounting are known as accountants.,Accounting was established by an Italian mathematician in 1494!,0.0
550,550,Auto racing,4,Haha I know - doesn't stop me trying though!! My other half is in to all that and has been to watch formula one racing.,Wizard: I've been to watch Formula One racing. It's really exciting.,The minimum weight permissible is including the driver but not fuel.,Maybe it will make you feel better to know that Formula One got its name from having a set of rules (formula) to which cars must conform.  Increases safetly.,0.0
552,552,Elvis Presley,3,do you like his songs?,"Elvis Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee","Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.",Yeah ..He's referred to as the king of rock 'n' roll in the 80's,0.8888888888888888
553,553,Bee,3,Yeah they give us honey and i like that atleast,"Apprentice: I like honey, but I don't like bees.","They are found on every continent except Antarctica, in every habitat on the planet that contains insect-pollinated flowering plants.","We research says that  Bees are a monophyletic lineage within the superfamily Apoidea and are presently considered a clade, called Anthophila",0.0
554,554,Elvis Presley,3,"yes, I do. I am familiar with his big hits",Elvis Presley is a cultural icon.,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".",He was born Elvis Aaron Presley!  I actually really like his whole name.,0.0
556,556,Neurosurgery,3,Definitely interesting. It must be one of the more difficult fields to go into.,Apprentice: I've always been fascinated by neurosurgery. It's also often,"In most countries, neurosurgeon training requires a minimum period of seven years after graduating from medical school.","It's really difficult. In different countries, there are different requirements for an individual to legally practice neurosurgery,",0.0
557,557,Elvis Presley,4,"That makes sense, his music was very similar in sound to that of African American music back in the day. I'd love to hear more!","Elvis Aaron Presley was a famous musician and singer known as the ""King of Rock","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","Yes.  His music was not always accepted by the masses.  The youth truly enjoyed his uptempo, backbeat-driven music.  Elvis as a pioneer in fusing country music with rhythm and blues.  His style was original and unique for its time!",0.16666666666666666
559,559,Elvis Presley,4,That's actually one of my favorite songs by him. If I had to choose it would be that or Jailhouse Rock.,Wizard: I've heard that Elvis Presley was a singer and actor back in the,"Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old.","That was a very popular song. He didn't write it though, but then again most artists don't.",0.05555555555555556
561,561,Cod,4,What do you mean?,"Wizard: Native American Party, renamed the American Party in 1855 and commonly in","Cod is the common name for the genus ""Gadus"" of demersal fishes, belonging to the family Gadidae.","Know Nothings"" believed a ""Romanist"" conspiracy was afoot to subvert  politically organize native-born Protestants .",0.0
562,562,Harry Potter,4,That is a lot! When did the books first come out? I remember I was still in elementary school I believe.,Harry Potter books have sold over 500 million copies worldwide. Apprentice has heard of Harry Potter but never,no_passages_used,Harry Potter and the sorcerers stone release June 26th 1997!,0.0
570,570,Skiing,3,"Hm, alright. Do you know anything about the history of skiing?","Skiing can be a means of transport, a recreational activity or a competitive winter","The bottom of the short ski was either plain or covered with animal skin to aid this use, while the long ski supporting the weight of the skier was treated with animal fat in a similar manner to modern ski waxing.",Many types of competitive skiing events are recognized by the International Olympic Committee ,0.0
571,571,American football,3,What are some of your favorite teams?,"Wizard: I like college football, the in between of high school and pro football. Apprentice:","After clinching the SEC East, the Gators defeated then top-ranked Alabama Crimson Tide 31–20 in the SEC Championship Game to win their eighth conference title.",I favor the Florida Gators,0.0
572,572,Drama school,4,Do you know why it closed?,Wizard: I wish I could go to the Academy Drama School in London but it closed in 2007.,no_passages_used,I'm not sure but it was founded by Tim and Judith Reynolds in 1985 as the Evening Academy of Dramatic Art,0.0
573,573,Popcorn,3,yup. that sounds good and the popping sound will be amazing to hear,"The dish consists of tortilla chips (or ""totopos"") covered with cheese or cheese","The dish consists of tortilla chips (or ""totopos"") covered with cheese or cheese-based sauce, and is often served as a snack.",I agree with you.  Experts have found that the popping of the kernels happened by people as far back as the early 19th Century! So it not just a modern day food.,1.0
574,574,John Grisham,3,Im not really sure. It does sound interesting though. Does he still write?,John Ray Grisham Jr is best known for writing popular legal thrillers. Do you,"Eight of his other novels have also been adapted into films: ""The Chamber"", ""The Client"", ""A Painted House"", ""The Pelican Brief"", ""The Rainmaker"", ""The Runaway Jury"", ""Skipping Christmas"", and ""A Time to Kill"".","He does, and as of 2012 all of his books had sold over 275 million copies across the globe",0.0
576,576,Ireland,4,I didn't know that.  What's the ideal time for a visit?,Wizard: I think the best time to visit Ireland is during the summer.,Thick woodlands covered the island until the Middle Ages.,"months of March to May and September to November, as the weather isn't as cold as during the winter months",0.0
577,577,American football,4,I'm way into football too and these are cool facts I never knew. Is there many football teams?,"American football evolved in the United States, originating from the sports of association football and rugby football","American football evolved in the United States, originating from the sports of association football and rugby football.","There are so many. Especially considering all the high school, college, and professional teams.",1.0
578,578,The Walking Dead (TV series),3,"Well, after a few seasons, it really just felt tooooo dark and inescapable. I guess zombies will do that to you...! What's your favorite game?",Apprentice: I like zombie games. Wizard: I like zombie games too. I play on the,"A version for iOS was released in February 2010, and an HD version for the iPad.",I enjoy strategy games the most.  One of my favorites is Plants Vs. Zombies.  Have you played that one?  It's about homeowners that use plants to try and stop zombies from invading.,0.0
579,579,Elvis Presley,4,"Yes, it is so sad, and speaking of heart it is said that he died from a heart attack.","Wizard: I love Elvis music. He died on August 16, 1977.","With a series of successful network television appearances and chart-topping records, he became the leading figure of the newly popular sound of rock and roll.",Well he was into a lot of drugs I mean he had been singing since 1954 recording for Sun Records so I'm sure he was partying for at least 2 decades,0.0
580,580,Gymnastics,3,"Hehe you can try it, and then maybe you become flexible :D be sure to use a lot of chalk before you try, it really helps your grip",Apprentice's favorite hobby is amateur gymnastics. Wizard has never tried it.,"It typically involves the women's events of vault, uneven bars, balance beam and floor exercise.","Have you ever been involved in competitive artistic gymnastics which is the best known of events? And by the way, I would need MORE than chalk! lol",0.0
581,581,American football,4,Probably because the field used to have gridirons painted on. Now they just have the horizontal yard markings.,Wizard: American football is a sport played by two teams on a rectangular field with goal,Points are primarily scored by advancing the ball into the opposing team's end zone for a touchdown or kicking the ball through the opponent's goalposts for a field goal.,Points are scored by getting the ball into the other teams end zone and scoring a touchdown,0.0
583,583,Paramedic,3,"Aw, thank you. What do you do?",Apprentice is a paramedic.,"The scope of the role varies widely across the world, having originally developed as a paraprofession in the United States during the 1970s.",I'm an armed guard! It's funny that in some countries paramedic is accountable to a professional regulatory body,0.0
584,584,Medical billing,3,i wish it wasnt so expensive. if it wasnt for medical bills i would probably have alot better credit,Apprentice: I wish it wasn't so expensive. If it wasn't for medical bills,"However, with the advent of medical practice management software, also known as health information systems, it has become possible to efficiently manage large amounts of claims.",Do you receive your bills on paper still?,0.0
585,585,Harry Potter,3,I guess I would be more of a Ravenclaw ,"Harry Potter is a fictional character in the ""Harry Potter"" series of novels and films","Death Eaters are fictional characters in the ""Harry Potter"" series of novels and films.","Ravenclaws are pretty cool. In general I wish I did go to Hogwarts, it's such a cool school!",0.01739130434782609
589,589,Cheerleading,3,"It's pretty risky. A cheerleader from Southern Illinois University fractured her back and hit her head from falling from a pyramid stunt. She's fully recovered now though,thank goodness.",Apprentice: I love cheerleading competitions. The flyers scare me a bit though,Cheerleading began during the late 18th century with the rebellion of male students.,"Oh that is very serious. Good she is okay. Routines don't last long, but they incorporate dance, tumbling and such.",0.0
591,591,Skiing,4,"Is it only done on snow,I mean ice?","Wizard: Yes, it is only done on snow.","Cross-country skiing is a form of skiing where skiers rely on their own locomotion to move across snow-covered terrain, rather than using ski lifts or other forms of assistance.",not sure but skiing has evolved from beginnings in scandinavia and even long ago in china,0.0
593,593,American football,4,"oh wow that sounds complex, where do they play these foot ball at ?",Wizard: at a field with goalposts.,"American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",Usually its a rectangular field some teams have stadiums,0.3333333333333333
594,594,Dog training,4,"I've never heard of the Koehler method - I've heard of clicker training, though, and positive reinforcement. What can you tell me about the Koehler method?","Hugo William Koehler was born on July 19, 1886 in St. Louis,","He received the Navy Cross for his service during World War I.  Hugo William Koehler was born on July 19, 1886 in St. Louis, Missouri.",Hugo Koehler developed it.  He was a US Navy Commander who served as military attache to Russia,0.95
595,595,Genghis Khan,3,Didn't that empire stretch over most of the continent and then some?,Khan was born circa 1162 and died in 1227. He was the founder of the Mon,"His descendants extended the Mongol Empire across most of Eurasia by conquering or creating vassal states in all of modern-day China, Korea, the Caucasus, Central Asia, and substantial portions of Eastern Europe and Southwest Asia.","Yes, by the end of Khan's life, the Mongol Empire stretched across Central Asia and China.",0.0
596,596,American football,3,Cool I am a Ravens fan. I'm sure you're disappointed about your Super Bowl loss this year.,The Patriots lost the Super Bowl this year.,"Thomas Edward Patrick Brady Jr. (born August 3, 1977) is an American football quarterback for the New England Patriots of the National Football League (NFL).","I am very disappointed but our offense did really well advancing down the field, our running and passing game wasn't too bad.",0.0
597,597,American football,4,Do you know how many teams are in the NFL?,"The first match of American football was played on November 6, 1869, between two college teams,","The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.",32 total. I'm a bigger college football fan. It's hard to believe it evolved from rugby football.,0.7551020408163265
599,599,Green,3,That makes sense! I remember mixing blue and yellow paint in school to make green.  My favorite shade is like an emerald green.,The Wizard explains that green is the color between blue and yellow.,It is evoked by light which has a dominant wavelength of roughly 495570 nm.,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize ",0.0
602,602,Nickelback,3,"Yes, they are better then The Beatles. Rock Gods, Chad the lead singer is my Jesus.",Apprentice: I like Nickelback too. They're Canadian and started in 1995. Until,"Nickelback is one of the most commercially successful Canadian groups, having sold more than 50 million albums worldwide and ranking as the eleventh best-selling music act, and the second best-selling foreign act in the U.S. of the 2000s, behind The Beatles.",They went through a few drummers from 1995 to 2005. I like who they have now,0.3333333333333333
605,605,Drama school,4,So the kids have to compete just to get into the schools themselves? Do they have official competitions of some kind?,"Wizard: Yes, there are official competitions of some kind.",Some schools make this a two-stage process.,"Usually students begin to think about their entry plan starting in the 11th grade, so it can get pretty competitive.",0.0
606,606,Instagram,3,"I guess that is true, I just don't like those ads!!",Apprentice: I don't like Instagram. It's too much ads.,"It was created by Kevin Systrom and Mike Krieger, and launched in October 2010 as a free mobile app exclusively for the iOS operating system.","I guess the owner facebook, need the ad revenue to keep it going so i guess its ok",0.0
609,609,Elvis Presley,3,"That's long ago, how long did his career last?",Elvis Presley began his career way back in 1954.,"Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".","Well he died in 1977, at the age of 42.  That ended is career as a singer and actor",0.0
610,610,Ireland,4,Throw in this Brexit business which only makes things worse.,Wizard: Northern Ireland is part of the United Kingdom. Northern Ireland is a part of Ireland,"The civil war was waged between two opposing groups, Irish republicans and Irish nationalists, over the Anglo-Irish Treaty.","The Irish exited in 1921, I did not know they were know as the Irish Free State then.",0.0
611,611,Elvis Presley,3,"Yes, I love that song! I really like his version of ""My Way""","Elvis Presley's first RCA single, ""Heartbreak Hotel"", was released in","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.",Elvis started his music career in 1954 recording at Sun Records with producer Sam Phillips.,1.0
613,613,Bowling,3,That's true. I heard that at most places you have to actually pay to rent shoes. ,Apprentice: I heard that at most places you have to actually pay to rent shoes.,"A strike is when all the pins are knocked down on the first roll, whereas a spare is when all the pins are knocked over on the second shot.","Yes, I think I have always pay for that. Even when the maximum score is 300, I think mine is like half that.",0.0
614,614,Online shopping,3,isn't it amazing? and then it gets delivered right to your door,Apprentice: I love it too! It allows me to buy anything over the internet with just my,"A typical online store enables the customer to browse the firm's range of products and services, view photos or images of the products, along with information about the product specifications, features and prices.",I love the search option that stores have so I can find what I need rather quickly.,0.0
615,615,Bowling,4,What is the target?,Wizard: The target is a bowling ball.,"The maximum score is 300, which is achieved by getting 12 strikes in a row.",target is usually to knock over pins at the end of a lane,0.0
616,616,American football,4,yes and our players seem to be a lot bigger than rugby players,"Wizard: American Football is a hybrid of rugby and soccer. Apprentice: Yes, and our",Michigan was independent of any conference until 1896 when it became one of the founding members of the Western Conference (now known as the Big Ten Conference).,"That's the truth, the first football game was played in November of 1869. ",0.0
617,617,Elvis Presley,4,"wow, my husband is from Mississippi! I bet they have Elvis museum somewhere in MS","Elvis Presley's first RCA single, ""Heartbreak Hotel"", was released in","Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.","I'm sure there is, there is definetely one in Memphis. Elvis began his music career in 1954.",1.0
618,618,American football,3,I'm sure it's a complete different game then it is today. The year the Detroit Lions will win the super bowl.,"The first match of American football was played on November 6, 1869, between two college teams,","The first match of American football was played on November 6, 1869, between two college teams, Rutgers and Princeton, under rules based on the association football rules of the time.",The first match was between Rutgers and Princeton.,0.7551020408163265
620,620,Goldendoodle,3,Which breeds are crossed? Is one a poodle?,The Goldendoodle is a cross-breed dog.,The Goldendoodle was first bred by Monica Dickens in 1969.,"the name  alters ""poodle"" to ""doodle"" by analogy to ""Labradoodle"", was coined in 1992",0.0
621,621,Green,3,"In early modern Europe, green was the color commonly associated with wealth, merchants, bankers and the gentry",Apprentice: I love the color green. It reminds me of trees and nature. Wizard:,"By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy.",The color has a dominant wavelength of roughly 495570 nm if i rememebr,0.0
622,622,Bowling,3,I do I play all the time! I go to a ally by my house.,Apprentice: I bowl all the time. I go to an ally by my house.,Duckpin bowling is a variation of 10-pin bowling.,What do you think about ten-pin bowling?,0.0
623,623,Accounting,4,No organization can do without an accountant. ,Wizard: I agree. It's often been called the language of business. It can measure,"Financial accounting focuses on the reporting of an organization's financial information, including the preparation of financial statements, to external users of the information, such as investors, regulators and suppliers; and management accounting focuses on the measurement, analysis and reporting of information for internal use by management.","For sure. Organizations can divide accounting into several fields according to what they need, such as financial or management accounting, external auditing, etc.",0.0
625,625,Elvis Presley,3,"Yes I do!  His mansion, Graceland is amazing to tour too. ",Apprentice: I like Elvis Presley's songs. Do you? Wizard: Yes I do,"Craps is a dice game in which the players make wagers on the outcome of the roll, or a series of rolls, of a pair of dice.","I wish I could of been there for that, I bet it's amazing! It's no wonder that he is the King of Rock. With all his hit songs",0.0
626,626,Consulting firm,4,I need help with my own future planning. I may need a consultant at some point.,"Wizard: Management consulting is the practice of helping organizations to improve their performance, operating primarily through",Consulting services are part of the tertiary sector and account for several hundred billion dollars in annual revenues.,"Sure!  We all need it. Also, The deliverable of a consultant is usually an advise or a recipe to follow to achieve a company objective, ",0.3333333333333333
629,629,Kurt Cobain,4,Tell me more about Kurt Cobain,"Wizard: Kurt Cobain was an American songwriter, singer, and musician, most","Following the success of ""Nevermind"", Nirvana was labeled ""the flagship band"" of Generation X, and Cobain hailed as ""the spokesman of a generation"".","Well, he was born in Washington state. He formed Nirvana in 1987 with two other members, and basically established the grunge music scene in Seattle.",0.2222222222222222
630,630,Bowling,4,do you know when this game was originated? or who created bowling?,"Wizard: Well, the main target is to usually knock over pins at the end of ","Three consecutive strikes is a known as a ""turkey"".",I have no ide! i will have to check the history of bowling!,0.0
632,632,Cheerleading,3,"yeah they are, they go to competitions all the time. Could you tell me more about cheerleading?",Apprentice: My sister is a cherrleader and she is one of the best in,"Cheerleading originated in the United States, and remains predominantly in America, with an estimated 1.5 million participants in all-star cheerleading.","Yeah, the competitive routines tend to range from one to three minutes and will include various activities like dance and tumbling.  Does your sister have a specialty on the team?",0.0
633,633,Guns N' Roses,3,"It is amazing. They formed in 1985 in Las Angeles, Ca. ","Guns N' Roses' debut album, ""Appetite for Destruction""","Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100.","Yeah! It was cool to hear that their twin albums ""Use Your Illusion I"" and ""Use Your Illusion II"" (1991) debuted at number two and number one on the ""Billboard"" 200 respectively and have sold a combined 35 million copies worldwide, including 14 million units in the United States.",1.0
634,634,Motivation,4,correct . It also gets us to accomplish task and set out goals for what we want to accomplish in life,Apprentice: I love motivation because it gets me inspired to do different things.,"Activated ""seeking"" behavior, such as locomotor activity, is influenced by dopaminergic drugs, and microdialysis experiments reveal that dopamine is released during the anticipation of a reward.",It either gets us to act in a positive or negative way.  ,0.0
635,635,Popcorn,4,"That's interesting, I assumed all kernels could be popped and wasn't aware that there were different strains. How many other strains are there?",Wizard: There are about a dozen strains of corn.,"Corn was first domesticated 9,000 years ago in what is now Mexico.","There are a few - dent corn, flour corn, popcorn, pod corn, and flint corn.",0.0
637,637,Winter,4,Funny enough people in the tropical regions always wish for it as much as those in temperate wait for summer,Wizard: I forgot that tropical zones don't experience winter at all.,"There is a large amount of variability in climate across the Arctic, but all regions experience extremes of solar radiation in both summer and winter.","I agree, In the Arctic for instance, they have short summers so I know they always want more. My AC is out so I know I will enjoy winter.",0.0
639,639,Green,3,Really I did not know that you must know about your colors do you like green kale shakes?,Apprentice: I do. I like green kale shakes.,"Green beans are known by many common names, including French beans, string beans, snap beans, and snaps.",I am not a huge fan of kale which is basically leaf cabbage.,0.0
640,640,"On-again, off-again relationship",3,I'm not sure. What do you think is usually the case in relationships like this?,Apprentice: I think it's a combination of both.,Interpersonal communication is an exchange of information between two or more people.,"Could be ither, really because reasons why relationships like yours for can be complex.",0.0
641,641,Archery,3,Interesting.  When was archery first used?,The bow and arrow seems to have been invented in the later Paleolithic or,The bow and arrow seems to have been invented in the later Paleolithic or early Mesolithic periods.,Hunting with a bow and arrows was one of the first hunting methods to develop after the spear. ,0.8333333333333334
643,643,Bowling,3,Well I did it for so long I guess my passion kind of fizzled out. You need to be really dedicated to go pro in anything. Are you big into sports yourself?,"Apprentice: Yes, I am. I used to play bowling for a living. Wizard","The term ""hambone"" has also been used to describe four consecutive strikes.",No I'm not good at anything. I like bowling video games. I have never gotten a 300 which is 12 strikes in a row!,0.0
644,644,Instagram,3,That's what I don't get.  I can share pictures on Facebook with a narrative.  Instagram doesn't have much writing.  Is that what people want now?,"Instagram is a photo sharing app and is used on mobile, internet and desktop. The users",Instagram lets registered users upload photos or videos to the service.,"Facebook actually owns Instagram, so I don't know why it wouldn't be a bit more similar in that area.",0.3333333333333333
646,646,Hunting,4,"I do not have a pest issue in my area, I did not know pest control and hunting could be the same","Wizard: I used to hunt deer, but I haven't been in some time","Advocates oppose the assignment of moral value and fundamental protections on the basis of species membership alone—an idea known since 1970 as speciesism, when the term was coined by Richard D. Ryder—arguing that it is a prejudice as irrational as any other.","Yes, some animals can become a burden for those practicing agriculture. So, the laws can change to allow hunters to control the animal population, whether by chemical or cultural needs.",0.0
647,647,Cheerleading,4,"That would make sense, as that was a big movie.","Wizard: Yes, it really got popular around 2000 when the movie ""Bring It On""",Cheerleading began during the late 18th century with the rebellion of male students.,"Yeah, it really helped to explode it into the limelight. There's over 1.5 million people completing in all-star cheerleading!",0.0
648,648,Hunting,3,I would be so mad if they killed my chickens!!!  Do you set up traps?,"Augustine Chacon (English: ""The Hairy One"")","Augustine Chacon (1861 – November 21, 1902), or El Peludo (English: ""The Hairy One""), was a Mexican outlaw and folk hero of Arizona Territory.","Yes, I try to only set live traps I dont want anything to suffer ",0.3333333333333333
